stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,otic,periderm,spinal_cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,20,0,0,3,0,0,0,0,1,0,0,0
 24-34,0,1.64,0,1.64,0,0,73.06,0,0,18.88,0.82,17.24,0.82,0.82,0.82,0.82,0,0
 36-46,0,3.22,0,0.81,0.81,0,40.28,0,0.81,11.28,0,5.64,0,0,0,3.22,0,1.61
 48-58,0,1.15,0,0,0,0,9.18,1.15,0.57,5.16,0,1.72,0,0,0,0.57,0,0
 60-70,0,3.93,0,0.98,0.98,0,8.83,0,0,4.91,0,0.98,0,0,0,0,0,0
 72-82,0,0,0.98,1.96,0.98,0,14.72,0.98,0.98,4.91,0,3.93,0,0,0,0.98,0,0
 84-94,0,6.37,0,1.06,0,1.06,11.68,1.06,0,8.5,0,1.06,0,0,0,1.06,0,0
 96-106,0,14.21,1.09,0,0,0,5.46,1.09,0,14.21,0,1.09,0,0,1.09,1.09,1.09,0
108-118,0,13.02,0,0,2.3,0.77,16.85,0,0,9.96,0,1.53,0,0,0,0,0.77,0
120,0,5.88,0,0,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0
