stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,heart,iridophores,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,1.61,0.81,0.81,0,0,0,0,0,0,1.61,0,0,8.86,0,0,0,0,0,0,0,3.22,0,0,0.81,0
 48-58,0,0,3.44,0,0,0,0,0.57,0,2.87,0,0,5.16,0,0,0,0,0,0,0,2.3,0,0,0,0
 60-70,0,0,2.94,0,1.96,0,0,0,0,0,0,0,7.85,0,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0.98,4.91,0,0.98,0,0.98,0,0,3.93,0.98,0,11.78,0,0,0,0,0,0,0,0,0,0,0.98,0.98
 84-94,1.06,0,0,1.06,4.25,0,0,0,0,1.06,0,0,4.25,1.06,0,0,0,0,0,1.06,1.06,0,0,1.06,0
 96-106,1.09,0,2.19,0,0,0,0,0,1.09,4.37,1.09,0,6.56,0,1.09,0,0,0,0,0,0,0,1.09,1.09,0
108-118,0,0,6.13,0.77,0.77,0.77,0,0,0,0.77,0,0.77,6.13,0,0,0.77,0,2.3,0,0,0,0,0,1.53,0
120,1.96,0,1.96,0,5.88,1.96,0,0,0,1.96,0,3.92,7.84,0,0,0,1.96,1.96,0,0,0,1.96,0,0,0
