stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,220.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0
  7-9,2.63,26.29,0,0,0,0,15.77,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,528.37,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,66.09,0,9.44,0,0,75.53,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,2127.35,9.44,0,0,122.73,0,0,3.15,0,0,12.59,0,0,0,0
 14-21,0,0,0,0,5,2,4,0,0,0,80,2,1,0,0,0,0,0,0,0,0,0,1,1736,0,0,0,2,1,4,0,0,5,538,0,0,0,0
 24-34,0,0,0,0.82,8.21,0.82,17.24,0,1.64,0,66.49,0,0.82,0.82,0,0,0.82,0,1.64,0,7.39,0,7.39,2245.04,1.64,5.75,1.64,0,3.28,0,0,0,4.93,509.75,0,4.1,0,1.64
 36-46,0,0,0,0,1.61,0,13.7,0,0,2.42,48.34,0,0,0.81,0,0,0,0,0.81,0.81,4.83,0,4.83,1571.06,0.81,0,0,0,1.61,0,0,0,0,465.68,0,0,0,0
 48-58,0,0.57,0,0,1.15,1.15,34.43,0.57,0,0,51.07,0,0,0,0,0.57,0.57,0,0,0,5.16,0,1.72,716.68,0.57,1.15,0,0,1.15,0,0,0,0,297.23,0,0.57,0,0.57
 60-70,0,0,0,0,1.96,0.98,17.67,0,0.98,0,35.33,0,0,0,0,0,0,0,0,1.96,2.94,0,0,237.53,0,0,0,0,1.96,0,0,0,0,77.54,0,0,0,0
 72-82,0,0,0,0,2.94,0,27.49,0,0,0,53.01,0,0,0,1.96,0,0,0,0,0.98,0,0.98,0,188.48,0,0.98,0,0,1.96,0,0,0,0,34.36,0,0,0,0
 84-94,0,0,1.06,1.06,2.12,0,22.3,0,0,0,45.67,0,0,0,0,0,0,1.06,1.06,0,9.56,1.06,0,115.76,0,0,0,0,0,0,1.06,1.06,0,25.49,0,0,0,0
 96-106,0,0,0,0,0,1.09,22.95,0,1.09,0,30.6,1.09,0,0,1.09,0,0,0,0,0,3.28,0,0,76.5,0,0,0,0,1.09,0,0,0,0,13.11,0,1.09,0,0
108-118,0,0,0,0,3.83,0.77,8.43,0.77,0,0.77,48.26,0,0,0,0,0,0,0,1.53,0,0.77,0.77,0,107.23,0,0,0.77,0,1.53,0,0,0,0,13.02,0.77,0.77,0.77,0
120,0,0,0,0,1.96,1.96,15.68,0,1.96,0,27.44,0,0,0,0,0,0,0,1.96,0,0,0,0,125.43,0,0,0,0,0,0,0,0,0,11.76,0,0,0,0
