stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,glial,hatching_gland,immune,ionocyte,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,10.51,0,0,5.26,0,0,0,0,0,0,0,102.52,2.63,0,0,39.43,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,4,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,2,0,0,0,2,0,0,0
 24-34,0,3.28,0,0,0,0,0,0,0,0,0,0,0,0.82,13.13,3.28,0,0,0,0,0,0.82,0.82,0.82,3.28,0,0,0
 36-46,0,0.81,0,4.03,0,0,0,0,0,0,0,4.03,0,0.81,9.67,1.61,0,0.81,0,0,0,0,0,0,1.61,0,0,0
 48-58,0,0.57,0,3.44,0.57,1.15,0,0,0.57,0,0,4.02,0,0,5.74,0,0,0,0,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,0,3.93,0,0.98,0,0,0,0.98,0,7.85,0,0,9.82,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0
 72-82,0,0,0.98,4.91,0,0,0,0,0,0,0,10.8,0,0,10.8,0.98,0.98,0,0,0,0,0,0,0,0.98,0,0,0.98
 84-94,0,5.31,2.12,2.12,0,0,0,0,0,0,0,2.12,0,0,2.12,2.12,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,4.37,0,1.09,0,0,0,0,0,0,0,0,0,0,7.65,0,0,0,0,1.09,0,0,0,0,0,0,1.09,0
108-118,0,2.3,0.77,0,4.6,0,0,2.3,0,0,0.77,3.06,0.77,0,1.53,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,3.92,1.96,5.88,1.96,1.96,0,0,0,0,0,3.92,0,0,7.84,1.96,0,0,0,0,0,0,0,0,0,0,0,0
