stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,muscle,neural,olfactory,periderm,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0
 24-34,0,0,0,0.82,0,0,0,0,4.93,0,0,0.82,0,0,0,2.46,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,3.22,0,0,0,0,0,0,2.42,0,0,0,0
 48-58,0,0,0,0.57,0,0,0.57,0,4.59,0,0,0,0.57,0,0,1.72,0,0.57,1.15,0
 60-70,0,1.96,0,0.98,0,0,0,2.94,4.91,0,0,0,0,0,0,0.98,0,4.91,0.98,0
 72-82,0,0,0,2.94,0,0,0,4.91,18.65,0,0,0,0.98,0,0,3.93,0,11.78,1.96,0
 84-94,0,2.12,0,1.06,0,0,1.06,16.99,14.87,1.06,0,0,0,0,1.06,3.19,1.06,43.54,1.06,0
 96-106,1.09,3.28,0,4.37,1.09,1.09,1.09,17.49,21.86,0,1.09,0,1.09,1.09,1.09,3.28,0,63.39,1.09,1.09
108-118,0,6.89,0,1.53,0,0,0.77,25.28,17.62,0.77,0,0,2.3,0,0,2.3,0,41.36,1.53,1.53
120,0,7.84,0,1.96,0,0,0,39.2,17.64,1.96,0,0,0,5.88,0,7.84,0,94.07,0,0
