stage,epidermis,eye,fast_muscle,glial,lateral_line,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,spinal_cord
 10-12,0,0,0,0,0,0,0,0,6.29,0,0,3.15,0
 14-21,0,0,0,0,0,0,0,0,2,0,0,0,2
 24-34,0,0.82,0,0,0,0,0,0,3.28,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,5.64,0,0,0,0.81
 48-58,0,0,0,0.57,0,0.57,0.57,0.57,8.61,0,0,0,2.87
 60-70,0,4.91,0,0,0,0,0,0,24.54,0.98,0,0,1.96
 72-82,0,7.85,0,1.96,0,0,0.98,0,39.27,0,0,0,0.98
 84-94,0,5.31,0,1.06,0,0,0,0,15.93,0,0,0,2.12
 96-106,0,7.65,0,1.09,1.09,0,0,0,26.23,0,0,0,3.28
108-118,0,5.36,0.77,0,0,0,0,0.77,29.11,0.77,1.53,0,4.6
120,1.96,13.72,0,0,0,0,0,1.96,27.44,0,0,0,0
