stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,39.53,658.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.53,0,0,0,0,0,0,0,0,0
  5-6,30.65,306.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,2.63,0,13.14,0,0,0,18.4,0,0,0,0,0,70.98,0,0,0,0,0,0,0,0,0,0,0,136.69,10.51,0,0,60.46,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,18.88,0,0,0,25.18,0,0,0,0,0,53.5,0,0,0,0,0,0,0,0,0,0,0,276.93,12.59,0,0,81.82,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,1,6,1,0,3,0,0,0,2,1,3,0,1,1,0,0,0,0,6,0,0,3,35,1,1,2,3,0,0,0,5,0,1,20,0,0,1,0
 24-34,0,0,0,0.82,2.46,1.64,0,8.21,0,0,0,2.46,0,0,2.46,0.82,2.46,0,0,0,0,10.67,1.64,0,1.64,77.16,3.28,0.82,0,0,0,4.1,0,0,0,0.82,13.95,0,0,2.46,0
 36-46,0,0,0,0,1.61,1.61,0,24.17,0.81,0,0,13.7,0,0,0,2.42,1.61,0,0.81,0,1.61,20.14,2.42,0,6.45,93.46,2.42,0.81,0.81,0,0,2.42,0,0,0.81,0,14.5,0,0,1.61,0
 48-58,0,0,0,0,2.3,0.57,0,32.71,0.57,1.15,1.72,19.51,0,0,1.15,4.59,0,0,0,0.57,1.15,31.56,0.57,0.57,3.44,40.17,0,0.57,2.3,0,0,1.15,0,0,0,0,10.9,0,0,2.87,0
 60-70,0,0,0,0,3.93,0.98,0,38.28,0,1.96,1.96,34.35,0,0,1.96,11.78,0,0.98,0,0,0.98,46.13,0,0.98,2.94,30.43,0,0,1.96,0,0,3.93,0,0,0,0,9.82,0,0.98,2.94,0
 72-82,0,0,0,0,4.91,8.83,0,24.54,0.98,0.98,0.98,33.38,2.94,0.98,0.98,7.85,0,0,0.98,0,0.98,43.19,0,1.96,3.93,13.74,0,3.93,4.91,0,0.98,7.85,0,0,0,0,6.87,0,0.98,9.82,0.98
 84-94,0,0,1.06,0,10.62,11.68,0,19.12,0,1.06,1.06,11.68,3.19,0,1.06,6.37,1.06,1.06,2.12,0,3.19,29.74,1.06,1.06,3.19,19.12,0,0,4.25,0,1.06,31.86,0,0,0,0,1.06,1.06,0,4.25,1.06
 96-106,0,0,0,0,8.74,7.65,0,17.49,0,0,1.09,28.41,5.46,1.09,0,12.02,0,1.09,2.19,0,1.09,33.88,3.28,3.28,2.19,18.58,0,1.09,5.46,0,1.09,19.67,0,0,0,0,0,0,0,7.65,1.09
108-118,0,0,0,0,8.43,5.36,1.53,5.36,0.77,1.53,0.77,18.38,2.3,0,0.77,11.49,0,1.53,0.77,2.3,0,23.74,0.77,0,0,18.38,0.77,0.77,1.53,0,0,14.55,0,0,0,0,0,0,0.77,3.06,0
120,0,0,0,0,5.88,3.92,0,5.88,0,0,0,15.68,5.88,0,0,9.8,0,0,0,0,0,5.88,1.96,1.96,7.84,19.6,3.92,0,1.96,0,0,23.52,1.96,0,0,0,0,1.96,0,0,0
