stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,14,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,0,4,25,0,0,0,1,0,2,2,1,9,0,0,1,0,0
 24-34,0,0,0,0,5.75,0,2.46,0,0,0,0.82,0,0.82,0,0,0,0,0,10.67,0,0.82,4.1,110.82,0,0.82,0,0,0,0.82,0,0.82,35.3,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,3.22,0,0,0,1.61,0,0,0,0,0.81,0,0,10.47,0,1.61,1.61,213.5,0,0.81,0.81,0,0,0.81,0,0,59.62,0,0,0.81,0,0
 48-58,0,0,0,0,1.72,0,14.35,0,0,0.57,5.74,0.57,0,0,0,0,0,0,14.92,0,1.72,1.15,292.64,0,1.15,0,0,0.57,0,0,0,53.36,0,0.57,1.72,0,0
 60-70,0,0,0,0,0,0.98,61.84,0,0.98,0,9.82,0,1.96,0,0,0.98,0,0,22.58,0,5.89,1.96,600.69,0,0,0,0,1.96,0.98,0,0,67.73,0,2.94,0,1.96,0.98
 72-82,0,0,0.98,0,5.89,3.93,162.96,0,0,1.96,25.52,0.98,1.96,0,0,0.98,0,0.98,83.44,0.98,6.87,7.85,991.48,0,1.96,0.98,0,0.98,1.96,0,0,84.42,0,6.87,5.89,11.78,2.94
 84-94,0,0,1.06,0,2.12,0,128.51,0,1.06,1.06,25.49,0,2.12,1.06,0,2.12,0,0,55.23,0,8.5,3.19,551.2,1.06,0,1.06,0,0,1.06,0,0,48.85,0,9.56,1.06,9.56,1.06
 96-106,0,0,0,0,6.56,3.28,95.08,1.09,0,0,26.23,0,6.56,0,0,1.09,0,0,79.78,0,16.39,4.37,493.97,1.09,1.09,0,0,4.37,1.09,0,0,25.14,0,8.74,4.37,21.86,2.19
108-118,0,0,0,0,8.43,0,97.28,0,0.77,1.53,19.15,3.06,3.83,0,0.77,1.53,0.77,0.77,71.23,0,10.72,5.36,676.35,0,0,0.77,0,5.36,3.06,0,0,20.68,2.3,3.83,5.36,12.26,0
120,0,0,0,0,5.88,1.96,80.35,1.96,0,0,13.72,0,1.96,1.96,0,0,0,0,41.16,0,13.72,1.96,591.86,0,0,0,0,1.96,1.96,0,0,25.48,0,3.92,1.96,11.76,0
