stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,540.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,134.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,13.14,5.26,0,18.4,0,0,0,26.29,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,189.27,42.06,0,0,73.6,0,13.14,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,28.32,0,3.15,0,28.32,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,236.02,53.5,0,0,100.7,0,3.15,0,3.15,25.18,0,3.15,0,0,0,0,0,0
 14-21,0,0,3,11,36,41,0,4,0,0,1,2,0,2,0,5,0,1,0,6,0,0,4,59,8,5,4,2,0,8,0,12,2,1,18,36,0,0,15,0,0
 24-34,0,0,0,8.21,9.85,5.75,0,4.93,0.82,0,0.82,0.82,0,4.1,0,23.8,0,3.28,0.82,2.46,4.93,0,2.46,114.92,1.64,5.75,11.49,0,0,16.42,0,0.82,4.1,1.64,3.28,43.51,0,0,92.76,0,0.82
 36-46,0,0,0.81,0,3.22,0,0,1.61,0.81,0,0,1.61,0,5.64,0,5.64,0,1.61,2.42,7.25,1.61,0.81,2.42,325.49,0,6.45,8.06,0,0.81,12.09,0.81,0,1.61,0,0,45.12,0,0,53.98,0,0
 48-58,0,0,0,0,6.31,0,0,14.35,0,0,4.02,0.57,0,4.02,0,1.15,0,1.15,1.15,6.89,5.16,0.57,3.44,402.81,0,6.31,3.44,0,0,6.31,0,0,1.15,0.57,0,57.95,0,0,47.05,0,0.57
 60-70,0,0,0.98,0,8.83,0,0,7.85,1.96,0.98,6.87,4.91,0,0.98,0,2.94,0,0,0.98,9.82,1.96,0,0.98,313.11,0,7.85,1.96,0,0,9.82,0,0,0,0,0,68.71,2.94,3.93,32.39,0.98,0
 72-82,0,0,1.96,0,7.85,0,0,34.36,1.96,0,0.98,7.85,0,2.94,0.98,16.69,0.98,2.94,0,10.8,3.93,0.98,0,240.51,0,3.93,5.89,0,0.98,23.56,0,0,0.98,0,0,29.45,2.94,6.87,62.83,9.82,0
 84-94,0,0,3.19,1.06,23.36,1.06,2.12,16.99,4.25,1.06,6.37,22.3,0,1.06,1.06,21.24,1.06,2.12,1.06,8.5,5.31,0,0,121.07,0,7.43,3.19,0,0,48.85,0,0,1.06,0,0,16.99,10.62,1.06,43.54,9.56,0
 96-106,0,0,3.28,0,18.58,2.19,1.09,12.02,2.19,0,7.65,15.3,0,2.19,2.19,25.14,0,5.46,0,8.74,3.28,1.09,0,116.93,1.09,10.93,1.09,0,0,44.81,0,0,3.28,0,0,5.46,24.04,7.65,60.11,20.76,1.09
108-118,0,0,1.53,0.77,18.38,0.77,3.06,18.38,3.06,0.77,3.06,15.32,0,2.3,0.77,25.28,0,3.06,2.3,11.49,1.53,0,0.77,150.89,0,2.3,6.89,0,0,32.17,0,0,3.83,0,0,8.43,31.4,2.3,45.19,8.43,0
120,0,0,0,1.96,9.8,3.92,0,23.52,1.96,1.96,0,19.6,0,1.96,0,13.72,0,1.96,0,7.84,3.92,0,0,156.78,0,5.88,3.92,0,0,15.68,0,0,1.96,0,0,3.92,9.8,1.96,31.36,9.8,0
