stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,melanocytes,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,208.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,2.63,0,0,0,7.89,0,0,0,0,5.26,0,0,0,0,0,0,81.49,2.63,0,0,15.77,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,44.06,3.15,0,0,12.59,0,3.15,0,6.29,0,0,0
 14-21,0,0,0,1,13,1,0,1,0,0,0,3,0,1,0,0,0,0,1,8,0,0,0,1,0,0,5,1,9,2,0
 24-34,0,0,0,0,0.82,0,0,0.82,0,0,0.82,0,0,0,0,0.82,0.82,0,0.82,6.57,0,0,0,0,0,0,0,0,0.82,2.46,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,1.61,0.81,0,0,0,0,1.61,4.03,0,0.81,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,0,0.57,0,0,0,0,0,0,0,1.15,2.3,0,0,0,0,0,0,0,0,0,0.57,1.15
 60-70,0,0,0,0,0,0,0,4.91,0,0,0,0,0.98,0.98,0,0,0,0,0.98,9.82,0,0.98,0,0,2.94,0,0,0,0,0.98,0
 72-82,0,0,0,0,1.96,0,0.98,4.91,0,0,0.98,1.96,0,0,0,0,0,0,0.98,7.85,0,0,0,0,0.98,0,0,0,0,0,0.98
 84-94,0,0,0,0,1.06,0,1.06,2.12,0,0,1.06,2.12,0,0,0,0,1.06,0,0,5.31,0,0,0,0,2.12,0,0,0,0,0,0
 96-106,0,0,1.09,0,2.19,0,1.09,1.09,0,1.09,0,1.09,0,0,0,0,1.09,1.09,1.09,2.19,0,0,0,0,2.19,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,0,2.3,0.77,0.77,0,0,0,0,0.77,0,0,0,0,3.83,0,0,3.83,0,0.77,0,0,0,0,0,0
120,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0,1.96,0,0,0,0,0,1.96,0,0,1.96,0,0,0
