stage,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,olfactory,otic,periderm,spinal_cord,vascular_smooth_muscle,vasculature
 14-21,0,0,0,0,0,0,0,0,6,1,0,1,2,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,4.93,0.82,0,0,4.1,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,11.28,0,0,0,4.83,0,0
 48-58,0,0,0,0,0.57,0,0,0,0.57,1.15,1.15,0,6.89,0,0,0,4.59,0,0.57
 60-70,0,0,2.94,0,0,0.98,0,0,0,2.94,0,0,19.63,0,0,0,7.85,0.98,0
 72-82,0,0,0.98,0.98,0.98,0,0,0,0,5.89,0,0,47.12,0,0.98,0.98,5.89,0,0
 84-94,1.06,0,2.12,1.06,1.06,0,2.12,0,0,2.12,0,0,28.68,2.12,1.06,2.12,4.25,0,0
 96-106,1.09,0,2.19,0,0,0,0,5.46,0,3.28,0,0,27.32,4.37,1.09,0,0,0,0
108-118,0.77,0.77,0.77,0,0.77,0,3.83,0.77,0,3.83,0.77,0,25.28,3.83,0,0,3.06,0,0
120,0,0,0,0,1.96,0,3.92,1.96,0,0,0,0,21.56,1.96,0,0,3.92,0,0
