stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,67.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.32,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,6.29,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.97,0,0,0,37.76,0,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,17,3,0,1,0,0,0,2,0,0,1,0,0,0,0,0,2,0,0,4,34,1,0,0,0,0,1,1,7,0,1,4,23,0,0,1,0,0
 24-34,0,0,0.82,0,4.1,0,0,10.67,0,0,0,0,0,0,0,0,0,2.46,0,0.82,18.88,0,0,4.1,443.26,0.82,19.7,1.64,0,0,4.93,0,0,0,0,1.64,128.87,0,0,11.49,0,0.82
 36-46,0,0,0.81,0,3.22,0,0,17.72,0,0.81,0.81,8.06,0,0,0,0,0.81,0,0,0,16.92,0,0,0.81,726.71,0,12.09,1.61,0,0,2.42,0,0,0,0,0,157.11,0,0,6.45,0,1.61
 48-58,0,0,1.15,0,5.16,0.57,0,84.92,0,1.15,2.3,21.23,0,0,0,0,2.3,1.15,1.15,0,20.08,0,0.57,6.31,988.67,0.57,14.35,2.87,0,0,3.44,0,0,0.57,0,0,152.06,0,0,11.48,0,2.3
 60-70,0,0,0,0,4.91,0,0,198.27,0.98,0.98,1.96,70.67,0,0.98,1.96,0.98,1.96,1.96,0.98,0,36.32,0,0.98,1.96,1495.84,0.98,13.74,3.93,0,0,5.89,0,0,0,1.96,0,179.62,0,0,13.74,0,0
 72-82,0,0,2.94,0,13.74,0.98,0,358.31,0,0,3.93,143.32,2.94,0,0.98,0,2.94,1.96,0,0,56.94,0,0.98,2.94,1819.02,0,27.49,4.91,0,0,5.89,0,0,0.98,0,0,108.96,1.96,0,28.47,0.98,1.96
 84-94,0,0,3.19,0,10.62,0,0,217.72,1.06,1.06,0,97.71,3.19,0,1.06,2.12,2.12,1.06,0,0,20.18,1.06,2.12,2.12,830.51,1.06,10.62,7.43,0,1.06,10.62,0,0,1.06,0,0,60.54,3.19,1.06,27.61,0,1.06
 96-106,0,0,5.46,0,12.02,2.19,2.19,153,0,1.09,1.09,120.21,1.09,0,1.09,2.19,1.09,3.28,1.09,0,27.32,0,1.09,2.19,689.59,0,19.67,8.74,0,1.09,8.74,1.09,0,0,0,0,20.76,2.19,1.09,31.69,1.09,1.09
108-118,0,0,5.36,0,10.72,2.3,0,198.38,0.77,0,2.3,115.66,5.36,0,0.77,0.77,3.83,2.3,0.77,0,20.68,0,1.53,1.53,994.22,0.77,20.68,5.36,0,0,4.6,0,0,0.77,0,0,24.51,0.77,0,32.94,0.77,0
120,0,0,0,0,25.48,1.96,3.92,307.69,0,3.92,0,237.13,3.92,0,1.96,5.88,0,0,0,1.96,43.12,0,0,0,2369.38,0,37.24,3.92,0,1.96,11.76,0,0,1.96,0,0,78.39,1.96,0,56.83,0,0
