stage,epidermis,eye,fin_epithelia,glial,gut,immune,ionocyte,mesenchyme,mucous,neural,otic,paraxial_mesoderm,periderm,spinal_cord
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,3.28,0
 36-46,0.81,0,0,0,0,0,0,0.81,0,0.81,0,0,3.22,0
 48-58,0.57,0,0,0,0,0,0,0,0,0,0,0,2.87,0.57
 60-70,0.98,0,0.98,0,0,0,0,0,0,1.96,0.98,0,5.89,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0,3.93,0
 84-94,1.06,0,0,0,0,0,0,0,1.06,1.06,0,0,10.62,0
 96-106,0,0,1.09,0,0,0,1.09,0,0,1.09,0,0,8.74,0
108-118,0.77,0.77,0.77,0,0.77,0,0,0,0,0.77,0,0,6.13,0
120,0,0,0,0,0,1.96,0,0,0,3.92,0,0,17.64,0
