stage,axial,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,13.14,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,3.15,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0
 24-34,0,0,0,0,0.82,0.82,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0,1.64,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0.81,3.22,0,0,0,0,0,1.61,0
 48-58,0,0,0,0,2.87,0.57,0,0,0,0,0,0,0,1.15,0,0.57,3.44,0,0,0,0,0,0.57,0
 60-70,0,0,0,0,1.96,0,0,0,0,0,0.98,0.98,0,0,0,0,3.93,0,0,0,0,0,2.94,0.98
 72-82,0,0.98,0.98,0,7.85,0,0,0.98,0,0,0,0,0,4.91,0,0,14.72,0,0,0,0,0,0,0
 84-94,0,0,0,0,3.19,0,1.06,0,0,0,0,0,0,0,0,1.06,5.31,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,1.09,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0
108-118,0,0,0,0,3.06,0,0,0,0,0,0,0,0,2.3,0,0,3.06,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,7.84,0,0,0,0,0,1.96,0
