stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,18,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0
 24-34,0,0,0.82,1.64,0.82,0,6.57,0,0,0,0,0,0,0,0,0,1.64,0,4.93,0,0,2.46,100.97,0,0,0,0,0,0,0.82,0,0,46.79,0,0,0,0,0
 36-46,0,0,0,0,0,0,8.86,0,0,0,1.61,0,0,0,0,0,0,0,16.92,0,0,2.42,297.29,0,0,0,0,0,0,4.03,0,0,42.7,0,0,0.81,0,0
 48-58,0,0,0,2.3,0,0,51.07,0,0,0,3.44,0.57,0,0,0.57,0,0,0,12.05,0,1.15,4.59,434.37,0,0,0,0,0,0.57,0.57,0,0,43.04,0,0,0,0,0.57
 60-70,0,0,0,0,0,0,151.15,0.98,0,0.98,1.96,0,0,0.98,0,0,0,0,14.72,0,0,2.94,653.69,0,0,0.98,0,0,0.98,0,0,0,55.95,0,0,0.98,0,0.98
 72-82,0,0.98,0,9.82,0,0,467.27,0,0.98,1.96,31.41,0.98,0.98,0,0,0,0,0,28.47,0,0,3.93,730.36,0,0.98,4.91,0,0,0,0,0.98,0,37.3,0.98,0,3.93,0.98,0.98
 84-94,0,0,0,8.5,1.06,0,293.12,1.06,0,2.12,25.49,1.06,1.06,1.06,0,1.06,1.06,1.06,23.36,0,1.06,2.12,380.21,0,0,3.19,0,0,3.19,0,0,0,23.36,1.06,1.06,2.12,2.12,2.12
 96-106,0,0,0,7.65,0,0,326.76,0,0,2.19,18.58,2.19,2.19,1.09,1.09,0,1.09,1.09,22.95,0,1.09,2.19,370.48,0,1.09,7.65,0,1.09,1.09,0,0,0,9.84,2.19,0,0,1.09,1.09
108-118,0,0,0,7.66,3.06,0.77,235.15,0.77,0,0.77,19.92,0.77,2.3,1.53,0.77,0,0,0,16.09,0.77,0.77,1.53,399.07,1.53,0.77,9.96,0,0.77,2.3,0.77,0,0,6.13,0.77,0,0.77,0.77,0.77
120,0,0,0,5.88,1.96,0,219.5,0,0,0,21.56,1.96,0,1.96,0,1.96,0,0,13.72,1.96,0,3.92,513.46,0,0,5.88,0,0,3.92,0,0,0,29.4,0,1.96,1.96,0,0
