stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,18.88,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,5,11,1,1,15,1,0,0,1,5,0,3,96,5,0,1,0,0
 24-34,0,0,0,2.46,0.82,1.64,0,0.82,0,0.82,0,0,0.82,0,0.82,0,0,0,0,68.95,0,16.42,33.66,0.82,2.46,10.67,0,0,1.64,0,0,4.93,0,11.49,10.67,0,4.1,0,0.82
 36-46,0,0,0,3.22,0,2.42,0,5.64,0.81,2.42,0,0.81,0,0,0,0,0,0,0,126.49,0,29.81,25.78,0,0.81,4.83,0,0,0.81,0,0,4.03,1.61,0,7.25,0.81,7.25,0,0
 48-58,0,0,0,0,0,11.48,0,2.87,6.89,10.33,0,0,0.57,0,0,0,0,0,0,208.86,2.3,29.26,31.56,0.57,1.15,8.61,0,0,0,0,0,0.57,0,0,7.46,0.57,9.75,0,0
 60-70,0,0,0,5.89,0,17.67,0.98,8.83,5.89,13.74,0.98,0,2.94,0,0,0,0,0.98,0,297.4,0.98,25.52,25.52,1.96,0,5.89,0,2.94,0.98,0,0,0.98,0,0,3.93,3.93,9.82,1.96,0
 72-82,0,0,0,4.91,2.94,48.1,0.98,3.93,6.87,19.63,0,0,2.94,0,0,0,0.98,0.98,0.98,419.17,10.8,29.45,40.25,0,0,7.85,0,1.96,0.98,0,0,1.96,0,0,0.98,4.91,37.3,3.93,0.98
 84-94,0,1.06,0,0,0,52.04,0,6.37,7.43,22.3,1.06,2.12,2.12,1.06,0,0,0,0,2.12,271.88,5.31,15.93,24.43,0,0,12.74,0,1.06,1.06,0,0,1.06,0,0,1.06,3.19,31.86,1.06,0
 96-106,0,1.09,0,2.19,0,43.71,1.09,2.19,2.19,21.86,0,0,3.28,1.09,1.09,1.09,1.09,0,0,212.01,10.93,13.11,24.04,1.09,1.09,10.93,0,2.19,1.09,0,0,2.19,0,0,3.28,2.19,29.51,0,0
108-118,0,0,0,3.83,0.77,36,0.77,9.19,4.6,15.32,2.3,0,1.53,3.83,2.3,2.3,0.77,0.77,3.06,140.94,7.66,9.96,26.04,0,1.53,6.89,0,4.6,0.77,0,0,1.53,0,0,1.53,1.53,19.15,0,2.3
120,0,1.96,0,0,0,19.6,0,0,0,5.88,1.96,0,0,0,1.96,1.96,3.92,0,0,99.95,5.88,1.96,21.56,0,0,13.72,0,1.96,1.96,0,0,1.96,0,0,0,0,21.56,0,0
