stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,355.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,49.04,453.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,5.26,0,10.51,0,0,10.51,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,141.95,5.26,0,0,55.2,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,3.15,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.32,0,0,0,40.91,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,5,20,3,8,2,0,5,0,0,0,0,0,0,0,0,0,9,0,0,7,163,2,0,1,2,0,1,21,0,20,50,1,0,0
 24-34,0,0,0,0,1.64,0,18.06,1.64,0,3.28,0.82,0,1.64,0,0.82,0,0,0,0,13.95,0,0,4.1,187.98,1.64,1.64,2.46,0,0,4.93,0,2.46,0,45.15,0.82,0,0
 36-46,0,0,0,0,4.83,0,31.42,0,0,8.06,0,0,0,0,0,0,0,0,0,20.95,0,0,4.03,181.28,0.81,1.61,0,0,0,1.61,0,0.81,0,42.7,0,0,0
 48-58,0,0,0,0,4.59,0,34.43,0.57,1.72,14.92,0,0,0,0,0,0,0,0,0,25.82,0,1.15,3.44,95.83,0,0.57,1.72,0,0,0,0,0,0,21.23,0.57,0,0
 60-70,0,0,0.98,0,0.98,0,41.22,1.96,0,9.82,2.94,0,0,1.96,0,0,0.98,0,0,27.48,0,0.98,0.98,99.13,0,0.98,0,0,0,0.98,0,0,0,9.82,0,0,0
 72-82,0,0,0.98,0,3.93,0.98,21.6,0,1.96,12.76,0,0,0,2.94,0,0,0,0,0,22.58,0,0.98,2.94,74.61,0,0,0.98,0,0.98,0.98,0,0,0,4.91,0,0,0
 84-94,0,0,0,0,4.25,0,16.99,0,1.06,6.37,0,0,0,0,2.12,0,0,0,0,12.74,0,2.12,4.25,28.68,0,0,0,0,0,6.37,0,0,0,4.25,1.06,1.06,1.06
 96-106,0,0,0,0,2.19,1.09,7.65,0,0,2.19,0,0,0,0,0,0,0,1.09,0,9.84,1.09,0,1.09,28.41,0,1.09,2.19,0,0,2.19,0,0,0,0,0,0,0
108-118,0,0,0,0,2.3,0.77,8.43,0.77,0.77,6.13,0.77,0,0.77,0.77,1.53,0.77,0,0,0.77,9.96,0,0.77,2.3,36,0,4.6,1.53,0,0,6.13,0,0.77,0,1.53,0,0,0
120,0,0,0,0,7.84,0,7.84,0,0,3.92,0,0,1.96,0,3.92,0,0,0,0,5.88,0,0,0,21.56,0,0,3.92,0,0,3.92,0,0,0,0,3.92,0,1.96
