stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,257.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,39.43,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56.65,3.15,0,0,25.18,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,1,1,29,925,143,176,0,1,0,5,23,2,12,0,6,0,3,0,2,394,2,0,305,801,52,1,59,32,0,2,107,49,24,224,197,0,0,50,0,4
 24-34,0.82,0,0,6.57,91.94,5.75,18.06,0,2.46,1.64,3.28,4.1,0.82,8.21,0,0,0,4.93,1.64,0,193.72,0.82,1.64,67.31,122.31,2.46,4.1,7.39,0,0,0.82,0,5.75,0,3.28,19.7,0,0,41.86,0,1.64
 36-46,0,0,0,0.81,56.4,2.42,20.14,0,2.42,5.64,7.25,5.64,0,8.06,0,0,1.61,4.03,4.83,0,270.7,1.61,7.25,84.6,182.89,5.64,0.81,6.45,0,0,0.81,0,7.25,0,0,41.89,0,0.81,27.39,0,0
 48-58,0,0,0,0,20.66,0,5.74,0,1.72,2.3,1.72,1.15,0,0,0,0,0,1.72,0.57,0,73.45,0,7.46,10.33,31.56,0,1.15,1.15,0,1.15,0,0,1.15,0,0,4.59,0,1.15,6.31,0,0
 60-70,0,0,0,0,25.52,0,24.54,0.98,7.85,4.91,15.7,0.98,0,2.94,0,0,0,0.98,2.94,0,229.68,0,16.69,18.65,74.6,0.98,0.98,8.83,0,3.93,0,0,1.96,0,0,3.93,0.98,7.85,8.83,1.96,0
 72-82,0,0,0,0,3.93,0,12.76,0,0,0.98,6.87,0.98,0,2.94,0,0,0,0,0,0,58.9,0.98,3.93,9.82,14.72,0,2.94,0.98,0,0,0,0,1.96,0,0,1.96,0,0.98,0,5.89,0
 84-94,0,0,0,0,11.68,1.06,11.68,0,2.12,0,6.37,0,0,1.06,1.06,0,1.06,3.19,0,0,42.48,0,4.25,7.43,21.24,0,2.12,1.06,0,1.06,0,0,3.19,0,0,5.31,0,4.25,3.19,8.5,0
 96-106,0,0,0,0,30.6,0,12.02,0,4.37,1.09,6.56,4.37,0,7.65,1.09,1.09,0,5.46,1.09,0,87.43,0,7.65,10.93,24.04,0,5.46,2.19,0,5.46,0,0,4.37,0,0,2.19,2.19,3.28,8.74,12.02,0
108-118,0,0,0,1.53,26.81,0,8.43,1.53,6.89,3.06,11.49,2.3,0,0,1.53,2.3,0.77,2.3,1.53,0,83.49,0,2.3,5.36,39.06,1.53,2.3,2.3,0,5.36,3.83,0,4.6,0,0,0.77,0,3.83,3.06,9.96,0.77
120,0,0,0,0,19.6,0,5.88,0,0,0,5.88,0,0,1.96,0,0,0,0,0,0,48.99,0,3.92,7.84,21.56,0,3.92,1.96,0,7.84,5.88,0,7.84,1.96,0,0,0,1.96,1.96,1.96,0
