stage,blastomeres,epidermis,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0
 24-34,0,1.64,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0.82,4.93,0,0,2.46,0.82,0.82,4.1,0,2.46,0
 36-46,0,0,2.42,0,0,0.81,0,0,4.03,0,0,0,0.81,0,0.81,0.81,16.11,0.81,0,1.61,0.81,0.81,1.61,0,0.81,0
 48-58,0,0,6.31,0,0,0,0,0,2.3,0,0,0,1.72,0,0,1.72,13.77,0,0,0,0,0,3.44,0,0.57,0
 60-70,0,0,22.58,0.98,0,0,0,0,8.83,0,0,0,9.82,0,3.93,0.98,19.63,0,1.96,0,0,1.96,3.93,0,2.94,0.98
 72-82,0,0,65.77,0,0,2.94,0.98,0,3.93,0,0,3.93,2.94,0,2.94,1.96,20.61,0,0,0,0,0,1.96,0.98,4.91,1.96
 84-94,0,0,45.67,0,0,1.06,0,0,12.74,0,0,3.19,3.19,0,2.12,0,5.31,0,0,0,1.06,1.06,4.25,0,3.19,3.19
 96-106,0,2.19,29.51,0,2.19,1.09,1.09,1.09,7.65,1.09,0,4.37,15.3,1.09,1.09,0,12.02,0,1.09,0,0,0,0,0,2.19,2.19
108-118,0,0,30.64,0,0,0.77,0.77,0,7.66,0,0.77,5.36,7.66,0,0.77,0,6.89,0,0.77,0,0,2.3,0.77,0,2.3,1.53
120,0,1.96,27.44,0,0,0,1.96,0,9.8,0,0,3.92,5.88,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0
