stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature
  3-4,13.18,224.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0
  5-6,6.13,177.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,10.51,0,0,15.77,0,0,52.57,0,0,0,13.14,0,0,0,0,0,0,268.13,15.77,0,0,105.15,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,9.44,0,0,62.94,0,0,0,15.73,0,0,0,0,0,0,418.55,6.29,0,0,138.47,0,6.29,0,6.29,0,0,0,0
 14-21,0,0,0,1,17,4,11,0,1,1,1,0,0,0,5,0,7,102,3,3,4,3,0,1,21,1,1,27,40,0
 24-34,0,0,0.82,0,4.93,0,18.06,0,0.82,2.46,0,0,0,0,1.64,0,2.46,76.34,1.64,1.64,3.28,0,0,0,0,0.82,0,2.46,14.78,1.64
 36-46,0,0,0,0,0.81,0,8.06,0,2.42,0.81,0,0,0,0.81,0,0,0.81,33.03,0,1.61,0.81,0,0.81,0,0,0,0,0,9.67,0.81
 48-58,0,0,0,0,0,0,17.21,0,0,0,0,0.57,0.57,0,0.57,0,0,17.21,0,0,0.57,0,0,0,0,0,0,0,1.15,0
 60-70,0,0,0,0,0,0.98,23.56,0,0.98,0,0,0,0,0,0.98,0.98,0.98,8.83,0,0,0,0,0,0,0,1.96,0,0,0,0
 72-82,0,0,0,0,0,0.98,116.82,0.98,0,2.94,0.98,0,0,0,0.98,0,0,16.69,0,1.96,0.98,0,0,0,0,1.96,0,0,0.98,0
 84-94,0,0,0,0,0,0,82.84,0,0,1.06,0,0,0,1.06,1.06,0,1.06,4.25,0,1.06,1.06,0,2.12,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,1.09,3.28,99.45,0,1.09,1.09,0,0,0,1.09,0,0,0,5.46,0,0,0,0,0,2.19,0,1.09,0,0,0,0
108-118,0,0,0,0,1.53,0,65.87,0,1.53,2.3,0,0,0,3.06,1.53,0,0.77,6.13,0,0,0,0,0,1.53,0,0,0,0,0,0.77
120,0,0,0,0,0,1.96,45.08,0,0,3.92,0,0,0,1.96,0,0,0,3.92,0,1.96,0,0,1.96,1.96,0,1.96,0,0,0,0
