stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,15.77,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,62.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,761.57,94.41,0,0,56.65,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,9,809,1,0,8,0,9,0,4,4,12,0,5,0,0,0,18,1,0,5,64,61,1,3,1,0,2,0,2,3,2,87,0,0,0,0,0
 24-34,0,0,0,6.57,493.33,0,0,22.16,0,63.21,0,15.6,0,6.57,0,1.64,0,8.21,0,16.42,4.1,0.82,8.21,100.14,17.24,2.46,4.93,0,0,13.95,0,1.64,4.93,0,82.09,0,0,1.64,0,0
 36-46,0,0,0.81,0.81,199,0,0,12.89,0,45.12,0,12.89,0,4.83,0.81,2.42,0,12.09,0,12.09,1.61,0,5.64,78.96,13.7,1.61,1.61,0,0,10.47,0,0.81,0.81,0,44.31,0,0,0,0,0
 48-58,0,0,0,0,146.89,0,0,18.36,1.15,55.09,0,24.67,0,1.15,1.72,0,0.57,18.94,0.57,15.49,0.57,0.57,6.31,57.95,13.77,0.57,6.89,0,0.57,4.02,0,1.72,1.15,0,36.72,0,0,0.57,0,1.15
 60-70,0,0,0,0,187.47,0,0,14.72,0,80.48,0.98,16.69,3.93,1.96,4.91,0.98,0,22.58,0,17.67,2.94,0.98,4.91,46.13,9.82,1.96,6.87,0,0,11.78,0,2.94,0,0,21.59,0.98,0.98,0,0,0.98
 72-82,0,0,0.98,0,186.52,5.89,0,16.69,0,59.88,1.96,47.12,10.8,0,4.91,4.91,0,33.38,0,39.27,2.94,9.82,11.78,39.27,8.83,3.93,14.72,0,0,7.85,0.98,1.96,0,0,25.52,0.98,0.98,1.96,2.94,0
 84-94,0,0,0,0,261.26,0,0,23.36,1.06,100.89,0,32.92,15.93,0,3.19,7.43,0,22.3,1.06,12.74,3.19,9.56,2.12,30.8,9.56,3.19,9.56,0,0,14.87,0,5.31,2.12,0,23.36,2.12,0,1.06,1.06,0
 96-106,0,0,3.28,0,224.03,2.19,0,15.3,1.09,55.74,0,25.14,18.58,0,6.56,3.28,1.09,30.6,0,13.11,1.09,4.37,3.28,45.9,6.56,3.28,13.11,0,2.19,7.65,0,1.09,0,0,19.67,4.37,0,0,2.19,0
108-118,0,0,1.53,0,304.85,0.77,0.77,16.85,0,123.32,1.53,24.51,18.38,1.53,0.77,6.89,1.53,22.98,0,13.79,2.3,5.36,5.36,31.4,10.72,5.36,16.09,0,0,5.36,0,4.6,0.77,0,18.38,15.32,1.53,0,2.3,0.77
120,0,0,0,0,309.65,1.96,0,13.72,0,133.27,0,17.64,7.84,1.96,7.84,5.88,0,21.56,0,21.56,5.88,7.84,3.92,39.2,11.76,5.88,19.6,0,0,5.88,0,1.96,0,0,13.72,3.92,0,0,0,0
