stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,4,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,4,0,0,39,0,0,0,1,1,2,1,0,2,16,0,0,0,0,0
 24-34,0,0,0.82,0,0,11.49,0,0.82,0,1.64,0,0,3.28,0,0.82,0,0,0,0.82,4.93,0,0.82,84.55,2.46,0.82,0.82,0,6.57,0,3.28,0,0.82,17.24,0,0,1.64,0,0
 36-46,0,0.81,2.42,0,0,13.7,0,0.81,0,6.45,0,0,0,0,0.81,0.81,0,0.81,0.81,7.25,0,3.22,104.74,0,0.81,1.61,0,2.42,0,0,0,0,17.72,0,0,0,0,0
 48-58,0,0,0,0,0,30.99,1.15,0,1.15,5.16,0,0,0,0,0,0.57,0,0.57,0,12.05,0,1.15,108.45,0.57,0,0,0,2.3,0,0.57,1.72,0,22.95,0,0,1.15,0,1.72
 60-70,0,0,1.96,0,0,50.06,0,0,0,7.85,0,0,0,0,0,0,0,0,0.98,14.72,0,0.98,130.54,0,1.96,0.98,0,1.96,0,2.94,0.98,0,18.65,0,0,2.94,0,0
 72-82,0,0,2.94,0,0,53.99,0.98,0,0,11.78,1.96,0,0,0,0.98,0,2.94,0,0.98,22.58,2.94,0,115.84,0.98,0.98,0,0,5.89,0,0,0,0,11.78,0,1.96,0.98,0,0
 84-94,0,0,3.19,0,0,37.17,3.19,0,0,7.43,1.06,0,0,0,1.06,0,1.06,0,0,14.87,1.06,2.12,79.65,0,2.12,0,0,14.87,0,3.19,0,0,5.31,0,1.06,3.19,0,0
 96-106,0,0,3.28,0,0,33.88,0,1.09,0,5.46,0,0,0,1.09,1.09,0,1.09,1.09,0,14.21,1.09,1.09,54.64,1.09,3.28,1.09,0,7.65,0,2.19,0,0,2.19,0,0,4.37,1.09,1.09
108-118,0,0,6.13,0,3.06,28.34,0,0,0,6.13,1.53,0,0,0.77,2.3,0,2.3,0,2.3,7.66,0,2.3,44.43,0,0,2.3,0,10.72,0,1.53,0.77,0,3.06,1.53,0,1.53,0.77,0
120,0,0,5.88,0,0,19.6,0,1.96,0,3.92,0,0,0,1.96,0,0,1.96,0,0,1.96,0,3.92,58.79,0,0,0,0,3.92,0,1.96,1.96,0,3.92,0,0,3.92,0,0
