stage,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,immune,mesenchyme,muscle,neural,periderm,spinal_cord,vascular_smooth_muscle
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,9.44,0,0,0
 14-21,0,2,1,0,0,2,0,0,0,4,0,4,0
 24-34,0,0,0,0,0,0.82,0.82,0,0,8.21,0,10.67,0
 36-46,0,0,0,0,0,0,0,0.81,0,35.45,0,12.89,0
 48-58,0,0,2.3,0.57,0,0,1.15,1.72,0,37.87,0,3.44,0
 60-70,0,0,2.94,0,0,0,0,15.7,0.98,52.02,0,1.96,0
 72-82,0,0,1.96,0,0,0,0,37.3,0,26.5,0,3.93,0
 84-94,1.06,0,4.25,0,0,0,0,36.11,0,7.43,1.06,0,1.06
 96-106,0,0,0,0,0,0,0,17.49,0,14.21,0,0,0
108-118,0,0,4.6,0,0.77,0,2.3,22.21,0,16.85,0,2.3,0
120,0,0,0,0,1.96,1.96,0,5.88,0,19.6,0,0,0
