stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching_gland,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,spinal_cord
  3-4,39.53,777.5,0,0,0,0,0,0,0,0,0,26.36,0
  5-6,18.39,367.78,0,0,0,0,0,0,18.39,0,0,6.13,0
  7-9,0,0,13.14,0,0,0,2.63,0,28.92,5.26,13.14,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,3.15,0,0
 14-21,0,0,0,0,0,1,0,0,1,0,0,0,0
 36-46,0,0,0,0.81,0,0,0,0,0.81,0,0,0,1.61
 48-58,0,0,0,0.57,0,0,0,0,0.57,0,0,0,1.15
 72-82,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0.98
 84-94,0,0,0,0,0,1.06,0,0,1.06,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0
