stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,mesenchyme,muscle,neural,periderm,spinal_cord,vasculature
 14-21,1,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.82,0.82,0,0,0
 36-46,0.81,0,0,0.81,0,0,0,0.81,0,1.61,0.81,0,0
 48-58,0,0,0,0,0,0,0,0.57,0,2.87,0.57,1.15,0
 60-70,0,1.96,0,0,0,0,0,0.98,0,3.93,0,0.98,0
 72-82,0,0.98,0,0,0,0.98,0,0.98,0,4.91,0.98,0,0
 84-94,0,1.06,1.06,0,1.06,0,1.06,1.06,1.06,6.37,0,0,1.06
 96-106,0,1.09,0,0,0,0,0,1.09,0,3.28,2.19,0,0
108-118,0,0,0,0.77,1.53,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,3.92,0,0,0
