stage,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,1,3,3,0,0,0,0,0,0,4,0,2,18,0,0,0,0,1,4,7,0,0
 24-34,1.64,0,1.64,0,0,0.82,0,0,0,6.57,0,5.75,27.91,0,0,0,0,0,0.82,5.75,1.64,0
 36-46,0,0,2.42,0,0,0.81,0,0,0.81,18.53,0,2.42,26.59,0.81,1.61,0,0,0,0,9.67,0.81,0
 48-58,0,0,2.87,0,0,1.72,0,0,0,10.9,0,0.57,9.18,0.57,0.57,0,0,0,0,2.87,0,0
 60-70,0,0,4.91,0.98,0,3.93,0,0,0,18.65,0.98,1.96,3.93,0,0,0,0,0,0,0,0.98,0
 72-82,0,0.98,2.94,0,0.98,5.89,0,0,0.98,31.41,0,0.98,5.89,0,0,0,0.98,0,0,0.98,0,0.98
 84-94,0,2.12,2.12,0,0,6.37,0,1.06,0,32.92,1.06,1.06,5.31,0,1.06,0,0,0,0,1.06,4.25,0
 96-106,0,1.09,1.09,0,0,4.37,1.09,0,0,27.32,0,0,3.28,0,0,0,0,0,0,0,0,1.09
108-118,0,0.77,0.77,0.77,0,0.77,0,0,0,14.55,0,2.3,1.53,0,0,0,0,0,0,0,0,0.77
120,0,5.88,0,0,0,0,0,0,0,19.6,0,1.96,1.96,0,1.96,1.96,0,0,0,0,0,0
