stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,13.18,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,13.14,2.63,0,0,10.51,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.44,6.29,0,0,72.38,0,0,0,3.15,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,1,0,0,0,35,1,0,0,0,0,0,7,57,0,0,0,0,0,0,1,8,0,0,61,185,0,0,0,0
 24-34,0,0,0.82,0.82,0,1.64,0,0,0,56.64,0,2.46,1.64,0,13.95,0,6.57,167.45,0,0,0.82,0,0,0.82,0,0,0,0,19.7,256.11,0,0,1.64,0
 36-46,0,0,0,0.81,0,3.22,1.61,0.81,1.61,40.28,0,4.83,0,1.61,11.28,0.81,10.47,126.49,0,0,0,0,0,0,0,0,0,0,0,230.42,0,0.81,0,0
 48-58,0,0,0,0,0,6.31,0.57,0,2.87,41.89,0,0.57,0,0,17.79,0,6.31,51.64,0,0,0,0,0,0,0,0,0,0,0,106.73,0,0,0.57,0
 60-70,0,0,0,0,0,7.85,4.91,0.98,10.8,36.32,0,11.78,0.98,0.98,13.74,0,6.87,23.56,0,0.98,0.98,0,0,0,0,0,0,0,0,37.3,0,0,0,1.96
 72-82,0,0,0,1.96,2.94,10.8,0,0,15.71,66.75,0,7.85,0,3.93,16.69,0.98,5.89,18.65,0,0,2.94,0,2.94,0,0,0,0,0.98,0,9.82,0,0,4.91,4.91
 84-94,0,0,0,0,0,5.31,2.12,0,10.62,42.48,0,12.74,0,1.06,7.43,2.12,9.56,7.43,0,2.12,0,0,1.06,0,0,0,0,0,0,8.5,0,1.06,4.25,3.19
 96-106,0,0,0,1.09,0,8.74,1.09,0,6.56,31.69,0,21.86,0,0,15.3,0,13.11,2.19,0,0,1.09,0,1.09,0,0,0,1.09,1.09,0,13.11,0,0,5.46,0
108-118,0,0,0,0.77,0,1.53,1.53,0,9.19,41.36,0.77,20.68,0,0,4.6,0,6.89,6.89,0,0,0,0,0.77,0.77,0,0,0.77,0,0,6.89,0.77,0,1.53,0.77
120,0,0,0,1.96,1.96,1.96,3.92,0,3.92,23.52,0,13.72,0,0,3.92,0,5.88,5.88,0,0,0,0,1.96,3.92,0,0,0,0,0,1.96,0,0,1.96,1.96
