stage,blastomeres,epidermis,eye,glial,gut,immune,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,3.15,0,0,3.15,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,3,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,3.28,0
 36-46,0,0,0.81,0,0,0,0.81,0,1.61,0,0.81,1.61,0,0.81,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,1.15,0,0,1.15,0,0.57,0,0,2.3,0,0.57,0,0,0,0,0,0,2.87,0
 60-70,0,0,0,0,0,0,0,0,0.98,0,0,3.93,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,1.96,0,1.96,2.94,0,1.96,0,0,1.96,0,0,0,0,0,0.98,0,0,1.96,0
 84-94,0,0,0,0,0,1.06,4.25,0,1.06,0,0,1.06,0,0,0,0,0,0,0,0,1.06,1.06
 96-106,0,1.09,1.09,0,1.09,2.19,4.37,1.09,2.19,1.09,0,1.09,0,2.19,0,0,0,1.09,0,0,2.19,0
108-118,0,0.77,0.77,0,0.77,3.83,3.06,0,0,0,0,2.3,0,0.77,0.77,0,0.77,1.53,0,0.77,0,0
120,0,0,1.96,0,0,0,1.96,0,0,0,0,3.92,0,0,0,0,0,1.96,0,0,1.96,0
