stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,49.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,7.89,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,7,0,0,0,0,0
 24-34,0,0,0,1.64,0,0,2.46,0,0,0,1.64,0,0.82,0,0,3.28,0,0.82,0.82,0,0.82,0,0,0.82,119.02,0,7.39,4.1,0,0,1.64,0,43.51,0,0,0,0,0
 36-46,0,0,0,0.81,0,0,5.64,0,0,0,0.81,0,0,0,0,3.22,0,0,0,0,12.09,0,0,2.42,269.09,0,10.47,4.83,0,0,0.81,0,103.93,0,0,0,0,0
 48-58,0,0,0,2.3,0.57,0,24.1,0,0.57,1.72,2.87,0,0,0.57,0.57,1.15,0.57,1.15,0,0.57,31.56,0,0.57,6.31,293.79,0,7.46,9.18,0,0.57,2.87,0.57,88.37,0,0,1.15,0,2.87
 60-70,0,0,0.98,1.96,0,0,59.87,0,0.98,0,7.85,0,0,0.98,0.98,1.96,0,0,0,0.98,40.24,0,0.98,0,464.26,1.96,2.94,11.78,0,0,5.89,0.98,100.12,0,4.91,0,0,1.96
 72-82,0,0,0.98,3.93,0,0,131.54,0,0,0.98,19.63,0,0,0.98,0,3.93,0,7.85,0.98,0,56.94,0,0,1.96,542.86,0,9.82,27.49,0,0,5.89,0,87.37,0,3.93,0.98,0.98,0
 84-94,0,0,2.12,5.31,1.06,0,98.77,1.06,0,0,19.12,0,0,1.06,0,7.43,2.12,6.37,0,0,24.43,0,0,3.19,284.63,0,5.31,40.36,0,0,13.81,0,28.68,0,4.25,1.06,0,2.12
 96-106,0,0,1.09,7.65,2.19,0,122.4,0,0,2.19,34.97,4.37,0,0,1.09,3.28,0,20.76,2.19,0,30.6,1.09,0,1.09,263.38,0,5.46,48.09,0,1.09,16.39,0,17.49,1.09,4.37,1.09,3.28,1.09
108-118,0,0,0,7.66,0.77,0,96.51,0,0.77,0.77,25.28,2.3,0,0,1.53,1.53,0.77,8.43,0,0,22.98,0,0,0,358.47,0,0.77,35.23,0,0,13.79,0,13.79,0,1.53,0,0.77,0.77
120,0,0,0,11.76,3.92,1.96,99.95,0,1.96,0,27.44,1.96,0,0,0,1.96,0,9.8,3.92,0,31.36,0,1.96,7.84,433.11,0,3.92,56.83,0,0,7.84,0,23.52,0,1.96,0,0,0
