stage,blastomeres,erythrocytes,eye,glial,immune,iridophores,mesenchyme,muscle,neural,pericytes,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0
 24-34,0,0.82,0,0,0,0,0,0.82,4.1,0,0,0,2.46,0,0.82
 36-46,0,0,0.81,0.81,0,0.81,1.61,0,2.42,0,0,0,0,0,0
 48-58,0,0,0.57,0.57,0,0,0,0,2.3,0,0,0,0.57,0,1.15
 60-70,0,0,0.98,0,0,0,1.96,0,2.94,0,0,0,0,0,0.98
 72-82,0,0,0,1.96,0,2.94,4.91,0,0,0.98,0,0,0,0,5.89
 84-94,0,0,1.06,0,0,2.12,2.12,0,1.06,0,0,0,0,0,6.37
 96-106,0,0,0,0,0,2.19,0,0,0,0,0,0,0,1.09,12.02
108-118,0,0,0,0,0.77,5.36,3.83,0,0,0.77,0,0,0,0,16.85
120,0,0,0,0,0,5.88,1.96,0,0,0,0,0,0,0,3.92
