stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,hatching_gland,immune,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,vasculature
  3-4,26.36,777.5,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0
  5-6,49.04,619.09,0,0,0,0,0,0,0,0,24.52,0,6.13,6.13,0,0,0
  7-9,7.89,5.26,13.14,0,13.14,0,2.63,0,0,0,186.64,2.63,102.52,0,0,0,0
 10-12,0,3.15,3.15,0,9.44,0,0,0,0,0,53.5,0,6.29,0,3.15,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0
 48-58,0,0,0,0,0.57,0,0,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0.98,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,1.09,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
