stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,hatching_gland,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,39.53,382.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,521.02,0,0,0,0,0,0,0,0,0,0,6.13,0,0,6.13,18.39,0,0,0,0,0
  7-9,0,15.77,7.89,0,0,13.14,0,0,18.4,0,0,0,215.55,5.26,0,70.98,0,0,0,0,0,0
 10-12,0,3.15,15.73,0,0,12.59,0,0,3.15,0,0,0,179.38,9.44,0,44.06,0,0,6.29,0,0,0
 14-21,0,0,0,5,0,0,0,0,0,0,0,1,11,0,0,0,1,1,0,1,3,0
 24-34,0,0,0,0.82,0,0,0,0.82,0,0,0.82,0,1.64,0,0,0,0,0,0,0,2.46,0
 36-46,0,0,0,0,0,1.61,0,0,0,0,0.81,0,7.25,0,0,0,0,0,0,0,0.81,0
 48-58,0,0,0,0.57,0,1.15,0,0,0,0,1.15,0,3.44,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,2.94,0,0,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,0,0.98,0.98,5.89,0,0,0,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 84-94,0,0,0,2.12,0,1.06,1.06,0,0,1.06,0,0,2.12,0,0,0,2.12,0,1.06,0,0,0
 96-106,0,0,0,0,0,0,1.09,0,0,1.09,3.28,1.09,1.09,0,1.09,0,0,0,0,0,0,1.09
108-118,0,0,0,0.77,0,0.77,0,0.77,0,0,0,0,2.3,0,0.77,0,0.77,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0
