stage,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,otic,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
 14-21,1,5,0,1,0,2,0,0,4,0,2,14,0,1,1,1,3,6,0
 24-34,0,1.64,0,5.75,0,0,0,0,1.64,0,0,17.24,0,0,0.82,0,0,4.1,2.46
 36-46,0,0,0,6.45,0,1.61,0,0,0,0,0.81,8.06,0.81,0,0,0,0,2.42,0
 48-58,0,0.57,0.57,5.16,0,0,0,0.57,1.72,0,0,6.89,0,0,0,0,0,0.57,0
 60-70,0,0.98,0,2.94,0,0,0,0,0.98,0.98,0,5.89,0,0,0,0,0,0,0
 72-82,0,0,0,2.94,0.98,0,0,0,0,0,0,2.94,0,0,0,0,0,0,0.98
 84-94,0,0,0,5.31,0,0,0,0,1.06,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,2.19,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.53,0,0,0.77,0,0,0,0,3.06,0,0,0,0,0,0,0
120,0,0,1.96,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
