stage,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,ionocyte,mesenchyme,mural_cell,muscle,neural,periderm,spinal_cord,taste,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 24-34,0,0,0,0,0,0,3.28,0.82,0,0,3.28,4.93,0,0,0
 36-46,0,0.81,0,0,0,0,0,0.81,0,0.81,4.83,10.47,0,0,0.81
 48-58,0.57,0.57,0,0,0.57,0,0.57,0.57,0,0,4.02,6.89,0.57,0,0
 60-70,0.98,2.94,0.98,0,0,0,0,0.98,0,0,0.98,9.82,0,0,0
 72-82,0.98,4.91,0,0.98,0,0,0,1.96,0.98,0,2.94,0,0,0.98,0
 84-94,0,1.06,0,0,0,1.06,1.06,2.12,0,1.06,3.19,10.62,0,2.12,0
 96-106,0,0,0,0,0,0,1.09,1.09,0,0,0,4.37,0,1.09,1.09
108-118,0,1.53,0.77,0,0,0,3.06,0,0,0,0.77,3.06,0,0,0.77
120,0,0,0,0,0,0,0,1.96,0,0,0,7.84,0,0,0
