stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,474.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,202.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,5.26,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,1,6,0,5,0,0,0,1,4,0,0,0,0,0,0,0,3,0,0,2,67,1,3,5,0,0,2,0,1,2,0,2,40,0,0,1,0,0
 24-34,0,0,2.46,0.82,0.82,0,6.57,0,0,0,1.64,0,0,0,0,1.64,0.82,0.82,0.82,1.64,0,0,1.64,217.53,0,11.49,3.28,0,0,2.46,0,0,0.82,0,0,57.46,0,0,0,0,0
 36-46,0,0,1.61,0,0.81,0,34.64,0,0,0,5.64,0,0.81,0,0,0.81,0,0,0,0.81,0,0.81,0.81,533.35,0,15.31,1.61,0,0,4.03,0,0,0.81,0,0,93.46,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,79.19,0,0,0,9.18,0,6.31,0,1.15,1.15,0,0.57,0,8.03,1.15,0,1.15,556.02,0,8.03,0,0,0,1.15,0,0,0,0,0,78.04,0,0,0,0,0
 60-70,0,0,0,0,1.96,0,266.97,0,1.96,0,26.5,1.96,0.98,0,0.98,0.98,0.98,0,0,12.76,0,0,2.94,798.96,0,6.87,0,0,0.98,8.83,0,0,0.98,0,0,112.88,0,0.98,3.93,0.98,0.98
 72-82,0,0,1.96,0,8.83,0.98,624.34,0,0.98,0.98,47.12,3.93,3.93,0,1.96,0,1.96,0,1.96,34.36,0.98,1.96,1.96,858.95,0,9.82,9.82,0,0,5.89,0,0,0.98,0,0,51.05,0,2.94,1.96,1.96,0.98
 84-94,0,0,4.25,1.06,1.06,3.19,408.88,0,1.06,1.06,35.05,4.25,1.06,0,0,4.25,2.12,5.31,0,22.3,0,0,2.12,404.64,0,5.31,4.25,0,0,16.99,1.06,0,0,0,0,16.99,4.25,0,0,2.12,0
 96-106,0,0,4.37,0,15.3,3.28,443.7,0,0,0,44.81,7.65,0,3.28,7.65,2.19,2.19,5.46,1.09,30.6,0,0,2.19,391.24,1.09,13.11,6.56,0,1.09,14.21,0,0,1.09,0,0,14.21,4.37,1.09,3.28,4.37,2.19
108-118,0,0,6.89,0.77,9.19,3.06,318.64,0,1.53,0.77,39.83,13.02,0,0,4.6,2.3,1.53,13.02,0,32.17,1.53,1.53,0.77,510.9,0,11.49,11.49,0,1.53,17.62,0,0,0,0.77,0,19.92,1.53,0,0,2.3,0.77
120,0,0,3.92,0,21.56,1.96,199.9,1.96,1.96,0,33.32,3.92,0,0,0,1.96,0,5.88,0,31.36,3.92,1.96,0,435.07,0,3.92,1.96,0,0,7.84,0,0,0,0,0,11.76,3.92,1.96,3.92,0,0
