stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,116.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,7.89,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,68.35,2.63,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,40.91,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,33,1,0,0,1,0,6,0,0,3,12,0,0,0,0,0
 24-34,0,0,0,0,6.57,0,9.03,0,0,1.64,0,0,0,0,0,0,0,0,9.03,0,0.82,5.75,145.29,0.82,1.64,0,0,2.46,0,0,0.82,3.28,37.76,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,20.95,0,0,4.83,0,0,0.81,0,0.81,0,0,0,10.47,0,0,4.83,144.21,0,0.81,0.81,0,0.81,0,0,0,0,43.51,0,0,1.61,0,1.61
 48-58,0,0,0,0,1.15,0,44.18,0.57,1.15,6.31,0.57,0.57,0,0,0,1.15,0,0,16.07,0.57,1.15,2.87,87.79,0,1.15,0,0,3.44,0,0,0,0,21.23,0,0,0,0,0
 60-70,0,0,0.98,0,0,0,24.54,0,0,1.96,0,0,0,0,0,0,0,0,4.91,0,0,1.96,43.19,0,0,0,0,2.94,0,0,0,0,2.94,0,0.98,0.98,0,0
 72-82,0,0,0.98,0,0.98,3.93,42.21,0,1.96,10.8,1.96,0,0,0,0,0,0,0.98,25.52,0,1.96,3.93,112.89,0.98,0.98,1.96,0,0,0,0,0,0,10.8,2.94,0.98,5.89,0.98,0.98
 84-94,1.06,0,0,0,3.19,0,21.24,2.12,0,3.19,0,0,0,1.06,0,0,0,0,4.25,0,0,0,15.93,0,0,0,0,7.43,0,0,0,0,1.06,0,0,1.06,0,0
 96-106,0,0,0,0,4.37,3.28,19.67,0,1.09,7.65,0,0,0,0,0,0,0,1.09,6.56,1.09,0,1.09,40.44,0,1.09,2.19,0,4.37,0,0,1.09,0,2.19,0,0,1.09,0,1.09
108-118,0,0,0,0,0.77,2.3,16.85,0,0,2.3,0.77,0,0,0.77,0,0.77,0.77,0,6.13,0.77,0.77,3.06,38.3,0.77,0.77,1.53,0,2.3,0,0,0,0,0.77,0.77,0,2.3,2.3,0.77
120,0,0,0,0,5.88,0,11.76,1.96,0,3.92,1.96,0,0,0,0,1.96,1.96,0,3.92,0,0,0,29.4,0,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0
