stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,685.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,496.5,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0
  7-9,34.17,21.03,26.29,0,0,0,86.75,0,0,0,0,52.57,0,0,0,0,0,0,0,0,0,0,591.46,28.92,0,0,205.04,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,31.47,0,6.29,0,31.47,0,0,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,544.43,28.32,0,0,223.43,0,0,0,28.32,0,9.44,0,0,0,0,0,0
 14-21,0,0,1,13,3,0,1,0,0,1,0,0,0,1,0,0,0,0,5,0,0,4,50,2,0,4,3,0,0,8,0,2,6,12,0,0,0,0,0
 24-34,0,0,0,6.57,0,0,8.21,0,0,1.64,0,1.64,0,0.82,0,0,0.82,0.82,7.39,0,0,4.93,84.55,0,0.82,2.46,0,2.46,0,0,0,0,1.64,22.98,0,0,4.1,0,0.82
 36-46,0,0,0,0,0,0,5.64,0,1.61,1.61,0,0,0,0,0,0,0,0,2.42,0,0,0.81,28.2,0,0,0,0,0.81,0,0,0,0,0,6.45,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,24.1,0,0.57,6.89,0,0,0,0,0.57,0.57,0,0,16.07,0,0,0.57,48.2,0,0,0,0,0.57,0,0,0,0,0,9.18,0,0,1.15,0,0.57
 60-70,0,0,0,2.94,0,0,24.54,0.98,0,7.85,0.98,0,0.98,0.98,0,0,0,0,29.45,0,0.98,4.91,50.06,0,0.98,0,0,0.98,0,0,0,0,0,2.94,0,0,1.96,0,0.98
 72-82,0,0,0,0.98,0.98,0,11.78,0,0.98,6.87,0,0,0.98,0,0,0,0,0,12.76,0.98,0.98,1.96,20.61,0,0,0,0,0,0,0,0,0,0,1.96,0.98,0.98,0.98,0.98,0
 84-94,0,0,0,1.06,1.06,0,12.74,0,1.06,2.12,1.06,0,0,0,0,0,0,0,10.62,0,0,0,18.05,0,0,1.06,0,2.12,0,0,1.06,0,0,1.06,0,1.06,0,0,0
 96-106,0,0,0,1.09,2.19,0,8.74,0,0,2.19,0,0,0,0,0,0,1.09,1.09,9.84,0,0,3.28,10.93,0,0,1.09,0,4.37,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,3.06,1.53,0.77,0,2.3,0.77,0.77,0,0,1.53,0,0.77,0,0,0,5.36,0,0,0.77,7.66,0.77,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0
120,0,0,0,5.88,0,0,5.88,7.84,0,0,3.92,0,0,0,0,0,0,0,3.92,0,0,0,9.8,1.96,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0,0
