stage,epidermis,eye,glial,mesenchyme,neural,notochord,paraxial_mesoderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  7-9,0,0,0,0,2.63,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,6.29,0,0,0,0
 14-21,0,1,0,0,2,1,0,1,0,1,0
 24-34,0.82,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0
 48-58,0,1.72,0,0,0,0,0,0,0,0.57,0.57
 60-70,0,4.91,0,0,1.96,0,0,0,0,0,0
 72-82,0.98,3.93,0,0,2.94,0,0,0,0,0,0
 84-94,3.19,2.12,0,0,3.19,0,0,0,0,0,0
 96-106,0,1.09,3.28,0,2.19,0,0,0,0,0,0
108-118,1.53,0,0.77,0.77,0,0,0,0,0,0,0
120,1.96,0,3.92,0,0,0,0,0,0,0,0
