stage,epidermis,eye,fin_epithelia,immune,ionocyte,mesenchyme,neural,paraxial_mesoderm,pericytes,spinal_cord,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,2.63,2.63,0,0,0,0
 10-12,0,3.15,0,0,0,0,6.29,0,0,0,0,0
 14-21,2,0,0,0,0,0,0,0,0,2,0,0
 24-34,0,0,0,2.46,0,0,0,0,0,0,0.82,0
 36-46,0,0,0,14.5,0,0,0,0,0,0,0,0
 48-58,0,0.57,0,10.33,0,0,0.57,0,0,0,0,0
 60-70,0,0,0,29.45,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,10.8,0,0.98,0,0,0,0,0,0.98
 84-94,0,0,1.06,30.8,1.06,0,1.06,0,0,0,0,0
 96-106,0,0,2.19,18.58,1.09,2.19,0,0,0,0,1.09,0
108-118,0,0,1.53,28.34,0,0,0,0,0.77,0,0,0
120,1.96,1.96,0,21.56,0,1.96,0,0,0,0,0,0
