stage,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,glial,gut,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,pericytes,periderm,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,30,0,0,0,8,0,1,0,0,0,0,1,0,1,0,0,0,0
 24-34,0.82,3.28,0,0,2.46,0.82,1.64,0,0,0,91.12,0,0,0.82,18.06,1.64,18.06,0.82,0,0,0,2.46,0.82,0.82,5.75,0,0,0.82
 36-46,0,1.61,0,0,3.22,0,0,0,0.81,0,37.06,0,0.81,1.61,6.45,0.81,18.53,0,0,0,0,6.45,0,0,1.61,0,0,0
 48-58,0,1.15,0.57,0,4.02,0.57,1.72,0,0.57,0,11.48,0,0,1.72,0.57,1.15,6.89,0,0,0,0,4.02,0,0,2.87,0,0.57,0.57
 60-70,0,3.93,0,0,2.94,1.96,0.98,1.96,0,0.98,14.72,0,0,0,1.96,0,0.98,0,0,0,0.98,8.83,0,0,0.98,0,0,0
 72-82,0,3.93,0,0,1.96,0,0,4.91,0,0.98,31.41,0,0,1.96,0.98,0,8.83,0,0,0,0,33.38,0,0,0,0,0,0
 84-94,0,7.43,0,0,2.12,2.12,2.12,28.68,0,0,61.6,0,0,1.06,4.25,0,1.06,0,4.25,0,0,28.68,0,0,0,0,1.06,0
 96-106,0,13.11,0,0,4.37,2.19,0,33.88,0,0,55.74,2.19,0,1.09,1.09,0,6.56,0,1.09,0,0,38.25,0,0,0,1.09,0,0
108-118,0,13.02,0,0.77,1.53,2.3,0,54.38,0,1.53,54.38,0,0,1.53,3.83,1.53,9.19,0,0.77,0.77,0,45.19,0,0,0,0,0,0
120,0,23.52,0,0,0,1.96,0,9.8,0,0,29.4,0,0,1.96,1.96,0,3.92,0,1.96,0,0,41.16,0,0,0,0,0,0
