stage,axial,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,gut,ionocyte,lateral_line,mesenchyme,mucous,neural,olfactory,otic,paraxial_mesoderm,periderm,taste
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,5.26,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0
 24-34,0,0,0,0,0,0,0,1.64,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0
 48-58,0,0,1.15,0,0,0.57,0,0.57,0,0,0,0,0,0,0,0,0
 60-70,0,0,1.96,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,21.6,0,0.98,0,0,3.93,0,1.96,0,0.98,0,0.98,0,0,0
 84-94,0,0,49.92,0,0,1.06,0,4.25,0,0,1.06,0,0,2.12,0,2.12,4.25
 96-106,0,0,84.15,2.19,0,0,3.28,3.28,0,0,1.09,1.09,2.19,0,0,1.09,0
108-118,0,0,146.3,0,0.77,3.06,12.26,9.96,1.53,0.77,3.06,1.53,0,0,0,0,2.3
120,0,0,107.79,0,1.96,7.84,3.92,1.96,1.96,0,3.92,0,1.96,0,0,0,0
