stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,15,0,0,0,0,8,1,0,23,13,19,0,0,6,0,0
 24-34,0,0,0.82,0.82,0.82,0,0,2.46,0.82,0,0.82,0,0.82,0,1.64,0,0.82,0,0,1.64,0.82,0,0,3.28,81.26,0,0,0,0,13.13,0,0,3.28,4.1,43.51,0,0,21.34,0,0
 36-46,0,0,0,0,0.81,0,0,2.42,0,0,0,1.61,0,0,0,0.81,0,0,0,0.81,1.61,0,0,0,138.58,0,0.81,0,0,16.11,0,0,0.81,0,73.32,0,0,11.28,0,1.61
 48-58,0,0,0,0,1.15,0,0,8.03,0,0,0,10.9,0.57,0,1.15,1.72,1.72,0,0,1.15,5.16,1.72,0.57,2.3,152.63,0,0,0.57,0.57,6.89,0,0,0,0,64.84,0,0,9.75,0,0
 60-70,0,0,0,0,0,0,0,23.56,2.94,0,0,17.67,0,1.96,0,0,1.96,0,0,0,3.93,0,0,0.98,223.79,0,0,0.98,0,11.78,0,0,0,0,61.84,0,0,10.8,0,0
 72-82,0,0,1.96,0,6.87,0,0,52.03,0.98,0,0,16.69,0,0.98,3.93,1.96,0.98,0,0,0.98,5.89,0,0,0.98,308.24,0,0.98,0.98,0,13.74,0,0,0,0,40.25,1.96,0,40.25,0.98,0.98
 84-94,0,0,1.06,0,9.56,1.06,0,37.17,1.06,0,0,13.81,4.25,0,1.06,4.25,3.19,1.06,0,0,2.12,0,0,0,170.99,0,0,1.06,0,28.68,0,0,0,0,13.81,0,1.06,15.93,2.12,0
 96-106,0,0,1.09,0,8.74,1.09,0,41.53,0,0,1.09,18.58,2.19,0,7.65,7.65,2.19,0,3.28,0,6.56,0,0,2.19,143.16,0,1.09,1.09,0,16.39,0,1.09,0,0,21.86,1.09,1.09,39.34,1.09,2.19
108-118,0,0,1.53,0,12.26,0,3.06,33.7,0.77,0.77,0.77,16.85,3.83,0,0.77,3.83,0.77,2.3,0,3.06,6.13,0,0.77,1.53,173.87,0.77,2.3,3.83,0,13.02,0,0,0,0,11.49,6.89,0,24.51,0.77,3.06
120,0,0,0,0,9.8,3.92,0,29.4,1.96,1.96,0,13.72,7.84,0,0,5.88,0,3.92,0,0,5.88,0,0,1.96,248.89,0,0,0,0,15.68,0,0,1.96,0,15.68,0,0,15.68,0,0
