stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,184.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,73.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189.27,0,0,0,21.03,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,25.18,0,34.62,0,0,0,9.44,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,1746.57,3.15,0,0,207.7,0,0,0,9.44,0,0,9.44,0,0,0,0,0
 14-21,0,0,2,0,33,0,0,172,0,0,0,63,0,0,1,0,0,0,1,0,0,5,0,0,1,1542,1,6,13,12,0,0,1,5,1,2,685,0,0,0,0,0
 24-34,0,0.82,4.1,0,11.49,1.64,0,555.72,0,0,0,58.28,0,0.82,0,0,0,0.82,0.82,0.82,0.82,5.75,0,0,3.28,2990.38,0.82,27.91,5.75,0.82,0,0,0,4.1,0,0.82,852.05,0,0,1.64,0,0
 36-46,0,0,0,0,3.22,0,0,913.63,0.81,0.81,0,160.33,1.61,0,0,3.22,0.81,0,0.81,0,0.81,4.83,0,0,2.42,3018.04,0.81,29.81,5.64,0,0,4.03,0,1.61,0,0,875.76,0,0,2.42,0,0
 48-58,0,0,0,0,8.03,1.15,0,840.62,0,0.57,1.72,234.11,0,0,0,0.57,0,1.72,0,1.15,1.15,17.79,0,1.72,2.87,1991.1,0,12.05,10.33,0,0,1.15,0,2.3,0,0,593.89,0,0,1.72,0,2.3
 60-70,0,0,0.98,0,5.89,0,0,1039.43,0,1.96,0.98,283.66,0,0,0,0,0,0,0,0,0,22.58,0,0.98,0.98,1771.65,0,20.61,5.89,0,0,0,0,1.96,0,0,329.79,0,0.98,0,0,2.94
 72-82,0,0,0.98,0,11.78,1.96,0,856.01,0.98,1.96,1.96,274.87,1.96,0,0,0.98,0.98,0.98,3.93,0.98,0,37.3,0,3.93,2.94,1481.33,0,37.3,8.83,0,1.96,1.96,0,0.98,0,0,121.73,17.67,1.96,3.93,1.96,0.98
 84-94,0,0,2.12,0,6.37,2.12,0,579.87,0,1.06,2.12,189.04,2.12,0,0,2.12,0,0,2.12,0,0,25.49,0,2.12,2.12,725.37,0,25.49,16.99,0,0,3.19,0,0,0,0,88.15,13.81,4.25,0,1.06,2.12
 96-106,0,0,1.09,0,15.3,2.19,0,443.7,0,2.19,0,160.65,2.19,0,0,2.19,0,1.09,9.84,3.28,1.09,22.95,1.09,1.09,2.19,621.83,0,29.51,13.11,0,0,3.28,0,1.09,0,0,37.16,10.93,0,2.19,0,0
108-118,0,0,2.3,0,9.96,0.77,1.53,356.17,0,0,0,143.24,0.77,0,0,0.77,0,2.3,3.83,0.77,0,13.02,0.77,1.53,0,677.11,0.77,11.49,16.85,0,2.3,1.53,0,3.83,0,0,21.45,16.85,0.77,0.77,0.77,0.77
120,0,0,3.92,1.96,11.76,1.96,0,321.4,1.96,1.96,1.96,105.83,3.92,0,1.96,0,0,3.92,7.84,0,0,23.52,0,1.96,5.88,768.24,1.96,13.72,19.6,0,0,1.96,0,0,0,0,21.56,9.8,0,1.96,0,0
