stage,epidermis,erythrocytes,exocrine_pancreas,eye,glial,immune,ionocyte,liver,mesenchyme,neural,notochord,paraxial_mesoderm,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.64,0,0,0,0,0.82,0.82,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,2.42,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,1.72,0,0.57,0,0,0,0,0,0,0,0
 60-70,0,0,0,0.98,0,0,0,3.93,0,0.98,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0.98,0,0.98,0,14.72,0.98,3.93,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,57.35,2.12,2.12,0,0,1.06,0,0,0,0,0
 96-106,2.19,2.19,0,1.09,1.09,0,0,68.85,1.09,8.74,0,0,0,0,0,0,1.09,0
108-118,0.77,0.77,0.77,3.83,1.53,0,0.77,257.36,0,13.79,0.77,0,1.53,0,0.77,0,0,1.53
120,0,0,0,0,1.96,0,0,154.82,0,9.8,0,0,0,0,0,0,0,1.96
