stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,3.15,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0.82,0,0,0.82,0,0,18.06,0,3.28,3.28,0,0.82,0,0,1.64,0,0,3.28,0
 36-46,0,0,0,37.06,0,0,0.81,0,0,24.17,0,7.25,2.42,0.81,0.81,0,0,2.42,0,0,0.81,0
 48-58,0,0.57,0.57,54.51,0.57,0,4.02,0,0,30.99,0,2.87,4.59,0.57,1.72,0,0,1.15,0,0,0,0
 60-70,0,0,0,54.97,0,0.98,17.67,0,0,31.41,0,5.89,3.93,0,0,0,0,1.96,0,0.98,0.98,0.98
 72-82,0,0,0,19.63,0,0,22.58,0,0,54.97,0,4.91,3.93,0,0,0,0.98,0,0,1.96,0,1.96
 84-94,0,0,0,23.36,0,0,25.49,0,0,32.92,0,5.31,0,0,2.12,0,0,2.12,0,0,0,2.12
 96-106,0,0,0,22.95,0,1.09,30.6,1.09,0,29.51,0,5.46,8.74,0,2.19,0,1.09,0,0,2.19,0,3.28
108-118,0,0,0,16.09,0,0,22.21,0,0.77,17.62,0.77,0.77,5.36,0,2.3,0,0.77,0,0.77,0,0.77,1.53
120,0,0,0,13.72,0,0,5.88,0,0,19.6,0,0,1.96,0,0,0,0,1.96,0,0,0,1.96
