stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,197.67,3637.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197.67,0,0,0,0,0,0,0,0,0,0
  5-6,288.09,3015.78,0,12.26,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,110.33,18.39,0,0,30.65,0,61.3,0,0,0,0,0,0,0,0,0,0
  7-9,47.32,21.03,0,128.81,0,0,68.35,0,0,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,862.22,57.83,0,0,299.67,0,2.63,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,22.03,0,56.65,0,3.15,72.38,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,456.31,31.47,0,0,236.02,0,0,3.15,0,15.73,3.15,3.15,0,0,0,0,0
 14-21,0,0,1,2,25,7,4,0,1,0,7,5,0,1,0,0,0,0,0,0,12,0,0,10,151,6,1,3,3,0,4,0,14,1,8,65,0,0,8,0,0
 24-34,0,0,0,0.82,5.75,0,18.88,0,1.64,1.64,5.75,0.82,0,0,0,0.82,0,0,0,0,22.16,0,0,5.75,370.21,3.28,0.82,0.82,0,0.82,9.03,0,0,0,2.46,109.99,0,0,15.6,0,0.82
 36-46,0,0,0,0,5.64,0,64.45,0,0,0,13.7,0,0,0,0,0,0.81,3.22,1.61,2.42,31.42,3.22,0.81,8.06,592.97,2.42,4.03,3.22,0,0,9.67,0,0,1.61,0,143.41,0,0,12.09,0,0.81
 48-58,0,0,0.57,0,1.72,1.15,112.47,0,0,2.3,25.25,0,1.15,1.15,1.15,0,0,0.57,0,0,30.41,0.57,1.15,6.31,460.77,1.72,1.72,2.3,0,0,2.87,0,0,0,0,78.61,0,0,6.31,0.57,1.15
 60-70,0,0,1.96,0,5.89,0.98,226.73,0,1.96,0.98,37.3,4.91,1.96,1.96,1.96,2.94,0,0.98,0.98,0,56.93,0,2.94,6.87,474.08,0,0.98,0,0,0,12.76,0,0,0,0,61.84,0.98,3.93,13.74,0.98,2.94
 72-82,0,0,3.93,0,5.89,8.83,148.23,0.98,0,2.94,38.28,4.91,0,1.96,3.93,2.94,0.98,0.98,0.98,0,67.73,0.98,0.98,2.94,300.39,0,2.94,0.98,0,0,9.82,0,0,0.98,0,27.49,1.96,0.98,20.61,0.98,1.96
 84-94,0,0,2.12,0,13.81,3.19,76.47,0,3.19,0,21.24,2.12,1.06,1.06,4.25,4.25,4.25,1.06,1.06,0,35.05,0,5.31,2.12,150.81,0,0,2.12,0,0,18.05,0,0,2.12,0,14.87,3.19,0,11.68,1.06,1.06
 96-106,0,0,0,0,8.74,5.46,53.55,0,2.19,2.19,12.02,6.56,0,2.19,3.28,1.09,1.09,4.37,1.09,0,39.34,2.19,0,3.28,92.89,0,2.19,3.28,0,1.09,10.93,0,0,0,0,6.56,4.37,1.09,12.02,3.28,0
108-118,0,0,1.53,0,12.26,1.53,43.66,0,1.53,1.53,19.92,6.13,0,1.53,3.83,0.77,2.3,1.53,1.53,0.77,32.17,0.77,3.06,2.3,87.32,0,1.53,3.83,0,0,13.02,0,0,0,0,2.3,3.83,0,4.6,1.53,0.77
120,0,0,0,0,11.76,3.92,48.99,0,1.96,0,27.44,1.96,0,0,3.92,0,0,1.96,0,0,15.68,1.96,0,1.96,72.51,0,3.92,3.92,0,1.96,9.8,0,0,0,0,1.96,3.92,0,11.76,0,0
