stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,91.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0
  7-9,2.63,5.26,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,39.43,0,0,18.4,0,0,2.63,0,0,0,0,0
 10-12,0,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,28.32,9.44,0,9.44,0,0,0,0,0,0,0,0
 14-21,0,0,0,4,0,0,0,0,0,0,0,0,1,0,1,46,0,0,0,0,0,0,2,13,0,0,0
 24-34,0,0,0,0.82,5.75,0,0,2.46,0,0.82,0,0,4.93,0,0.82,52.53,0,0,0,0,0,0,0,11.49,0,0.82,1.64
 36-46,0,0,0,0,9.67,0,0,0.81,0,0,0,0,4.83,0,0.81,24.98,0,0,0,0,0,0,0,8.86,0,0,0
 48-58,0,0,0,0.57,3.44,0,0,1.15,0,0,0,0,0.57,0,0,5.74,0,1.15,0,0,0,0,0,2.3,0,0,0
 60-70,0,0,0,0,1.96,0,0.98,1.96,0,0,0,0,3.93,0.98,0,8.83,0,0,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,0,1.96,0,0,2.94,0.98,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0
 84-94,0,0,0,0,4.25,1.06,0,3.19,0,0,0,0,2.12,0,1.06,5.31,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,1.09,0,0,1.09,0,2.19,0,0,4.37,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0,0,2.3,0,0,0,0,0.77,0,0,3.06,0.77,0.77,0,0,0,0,0,0,0,0.77,0
120,0,0,0,0,0,0,0,3.92,0,0,0,1.96,0,0,0,3.92,0,0,0,0,0,0,0,0,0,1.96,0
