stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,5,0,1,0,2,0,0,2,8,0,0,1,1,0,2,1,2,1,0,2,4,0,0,0,0,0
 24-34,0,1.64,0,3.28,0,0,4.93,0.82,0.82,0,0,0,0,2.46,0,9.03,0,0,0,4.1,0,0,6.57,20.52,0.82,0,0,0,0,10.67,0,0,0.82,3.28,0,15.6,0,0,0,0,0
 36-46,0,0,0,0,0,0,2.42,11.28,0,0,0.81,0,0,1.61,0,4.83,0,0,0,3.22,0,0,1.61,15.31,0,0,2.42,0,0,4.83,0,0.81,0,8.06,0,14.5,0,0,1.61,0,0
 48-58,0,0,0,0,0,0,3.44,20.66,0,0.57,4.02,0,1.72,1.15,0,2.87,0,0,0,5.16,0,0,1.72,22.38,0,0.57,0,0,0,6.89,0,0,1.15,17.21,0,9.75,0,0,0.57,0,0
 60-70,0,1.96,0,3.93,0,0,4.91,20.61,0,0,7.85,0,0.98,0.98,0,3.93,0,1.96,0.98,7.85,1.96,0,1.96,22.58,0,0.98,0,0,0,9.82,0,0,1.96,16.69,0,4.91,0,0,1.96,0,0
 72-82,0,10.8,0,2.94,0.98,0,7.85,8.83,0.98,0,33.38,10.8,0.98,0.98,0.98,7.85,0,2.94,0,11.78,4.91,0,3.93,36.32,0,0.98,2.94,0,0,10.8,0,0,0,7.85,0,4.91,0,0.98,1.96,2.94,0
 84-94,0,9.56,0,2.12,1.06,0,6.37,7.43,0,0,12.74,12.74,1.06,0,0,7.43,1.06,1.06,1.06,7.43,4.25,0,5.31,25.49,0,0,3.19,0,0,21.24,0,0,3.19,11.68,0,6.37,0,0,2.12,2.12,0
 96-106,0,16.39,0,3.28,1.09,0,15.3,15.3,0,0,36.06,16.39,0,1.09,0,22.95,2.19,1.09,6.56,18.58,1.09,0,6.56,40.44,0,0,7.65,0,0,15.3,1.09,0,1.09,14.21,0,6.56,0,1.09,5.46,0,1.09
108-118,0,6.89,0,2.3,0.77,4.6,9.19,26.81,0.77,0,35.23,16.09,0,0.77,0.77,19.92,0.77,2.3,0,13.79,2.3,0.77,9.19,39.83,0,0.77,7.66,0,0.77,9.96,0,0,2.3,11.49,0,0.77,1.53,0.77,2.3,0,0
120,0,3.92,0,5.88,1.96,1.96,3.92,13.72,1.96,0,27.44,5.88,0,1.96,3.92,3.92,1.96,1.96,0,11.76,0,0,7.84,48.99,0,3.92,7.84,0,0,7.84,0,0,1.96,5.88,0,0,0,0,0,1.96,0
