stage,endocrine_pancreas,epidermis,erythrocytes,eye,glial,gut,heart,iridophores,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,0,0,1,0,0,0,0,0,0,1,0,0,9,0,0,0,6,0,0,0,0
 24-34,0,0,0,1.64,0.82,0,0,0,0,0,0,0.82,36.94,0,0,0,14.78,0,0,1.64,0
 36-46,0,0,0,1.61,0.81,0,0.81,0.81,0,1.61,0,0.81,54.79,0,0,0,17.72,0,0,0,0.81
 48-58,0,0,0,8.61,1.72,0,0,0,0,5.74,0,1.72,40.74,0,0,0,12.05,0,0,1.72,0
 60-70,0,0,0,14.72,2.94,0,0,0,0,4.91,0,0,29.45,0,0.98,0,10.8,0,0,0.98,0
 72-82,0,0.98,0,11.78,2.94,0,0,0.98,0,7.85,0,0.98,34.36,0,0,0,3.93,0,0,0,0
 84-94,0,0,0,14.87,5.31,0,0,2.12,1.06,6.37,0,2.12,9.56,0,0,0,5.31,1.06,0,1.06,0
 96-106,0,1.09,0,15.3,3.28,0,0,1.09,0,7.65,1.09,1.09,19.67,0,0,0,4.37,1.09,1.09,3.28,0
108-118,0.77,0,0,6.89,3.06,0,0,2.3,0,5.36,0.77,0,20.68,0.77,0.77,0.77,0,0,0,0,0.77
120,0,0,0,1.96,0,1.96,0,0,0,1.96,1.96,0,5.88,0,0,0,1.96,0,0,0,0
