stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,5.26,0,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,126.18,0,0,0,139.32,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,44.06,0,40.91,0,3.15,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,616.81,15.73,0,0,437.43,0,0,0,0,28.32,0,0,9.44,0,0,0,0,0
 14-21,0,0,74,265,10,6,0,0,0,67,5,1,0,0,3,0,0,1,0,157,0,0,125,774,24,0,0,27,0,5,1,129,30,0,72,837,0,0,4,0,0
 24-34,0,0,22.98,51.71,3.28,9.85,0,0.82,1.64,71.41,0.82,0.82,0,0,0,0.82,4.1,4.1,1.64,104.25,0,2.46,104.25,1058.9,2.46,1.64,0.82,0,0,9.03,0,0.82,12.31,0,11.49,720.71,0,0,23.8,0,0
 36-46,0,0.81,2.42,38.67,0,22.56,0.81,0.81,1.61,34.64,4.03,0,0,0,1.61,0.81,16.11,1.61,0.81,138.58,0.81,6.45,88.62,1102.16,1.61,0,0.81,0,0.81,1.61,1.61,0,2.42,0.81,0,758.13,0,0,8.06,0,1.61
 48-58,0,0,1.72,24.1,0.57,72.3,0.57,1.15,3.44,48.77,1.15,0,1.15,1.72,0,0.57,9.75,0,0,149.76,0.57,14.92,69.43,1076.46,0,2.3,1.15,0,1.15,1.72,0,0,0.57,0.57,0,512.98,0,2.3,5.16,0,3.44
 60-70,0,0,0,12.76,0,66.74,4.91,0,2.94,31.41,2.94,0,1.96,0,1.96,0.98,6.87,0.98,0.98,131.52,0,7.85,42.21,889.26,2.94,0,0,0,0.98,0.98,0,0,0.98,0,0,250.29,0,11.78,4.91,5.89,4.91
 72-82,0,2.94,0,14.72,6.87,102.09,4.91,0.98,0.98,58.9,5.89,0,0.98,0.98,0.98,0.98,4.91,1.96,0.98,156.08,0.98,15.71,45.16,704.83,0,0.98,0.98,0,2.94,1.96,0,0,0,0,0,154.12,0.98,8.83,6.87,5.89,3.93
 84-94,0,2.12,0,27.61,1.06,79.65,6.37,1.06,4.25,39.3,6.37,0,0,0,6.37,5.31,2.12,0,1.06,107.27,0,10.62,25.49,452.43,1.06,1.06,1.06,0,0,4.25,0,0,0,1.06,0,73.28,2.12,9.56,3.19,8.5,2.12
 96-106,0,3.28,0,18.58,1.09,43.71,5.46,0,0,34.97,6.56,0,0,2.19,4.37,3.28,1.09,2.19,0,102.73,1.09,8.74,21.86,297.25,1.09,1.09,3.28,0,4.37,3.28,0,0,0,1.09,0,34.97,2.19,9.84,5.46,9.84,1.09
108-118,0,1.53,0,17.62,0.77,17.62,1.53,0,0.77,25.28,0.77,0,1.53,1.53,2.3,3.83,1.53,0,0,81.19,0,6.89,13.02,335.49,0.77,0,0.77,0,1.53,3.06,0,0,0.77,0,0,24.51,0.77,6.13,2.3,0.77,1.53
120,0,0,0,7.84,1.96,17.64,3.92,1.96,1.96,25.48,0,0,0,1.96,0,3.92,0,1.96,0,80.35,1.96,5.88,19.6,284.17,1.96,1.96,0,0,0,5.88,0,0,0,1.96,0,31.36,0,3.92,3.92,0,1.96
