stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,210.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,165.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,70.98,5.26,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.29,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0.82,0.82,0.82,0,0,0,0,2.46,0,0.82,10.67,0,1.64,0,0,0,0.82,0,0,0,0,3.28,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,2.42,0,0,19.34,0,0,0.81,0,0,2.42,0,0.81,0,0,4.83,0,0,0
 48-58,0,0,0,0,0,0,2.3,0,0,2.3,0,0,0,0,0.57,0,1.15,0.57,0,16.07,0,1.15,1.15,0,0,1.15,0,0,0,0,1.72,0,0,0
 60-70,0,0,0,0,0.98,0,5.89,0,0.98,0.98,0,0,0,0,0,0,2.94,0,0,26.5,0,0.98,0,0,0,0,0,0,0.98,0,2.94,0,0,0.98
 72-82,0,0,0.98,0,0.98,0,5.89,0,0,0,0.98,0,0.98,0,0,0,1.96,0,0,23.56,0,0.98,0.98,0,0,4.91,0,0,0,0,1.96,0,0,1.96
 84-94,0,0,1.06,0,3.19,0,4.25,1.06,0,0,0,1.06,0,0,0,1.06,6.37,0,0,11.68,0,0,0,0,0,6.37,0,0,0,0,1.06,1.06,1.06,1.06
 96-106,0,0,0,0,1.09,0,5.46,0,0,0,0,0,1.09,1.09,0,0,3.28,0,0,14.21,0,0,2.19,0,0,6.56,0,0,0,0,2.19,0,1.09,1.09
108-118,0,0,0,0,1.53,0,4.6,1.53,0,0.77,0,0,0.77,0.77,0,0,3.06,0,0,14.55,0,0.77,3.06,0,0.77,9.19,0,0,0,0,1.53,0,0.77,0
120,0,0,0,0,9.8,1.96,3.92,0,0,0,0,0,0,1.96,1.96,0,5.88,0,0,29.4,0,1.96,1.96,0,0,5.88,0,0,0,0,0,0,0,0
