stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,0,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,1,0,0,3,5,0,0,0,0,1
 24-34,0,0,0,1.64,0,0,2.46,0,1.64,0,0.82,0,0,0.82,0,2.46,0,0,0,0,1.64,0,0,2.46,34.48,0.82,1.64,0.82,0,6.57,0,2.46,0,0,16.42,0,0,0,0,0
 36-46,0,0,0,1.61,0,0,4.83,0.81,0.81,0,4.03,0,0,2.42,0,1.61,0,1.61,0,0.81,2.42,0,0,0.81,126.49,0.81,3.22,0,0,8.06,0,1.61,0,0,38.67,0,0,1.61,0,0.81
 48-58,0,0,0,0.57,0,0,20.08,0.57,0.57,0,14.92,0,0,0,0,1.72,0,0,0,1.15,7.46,0.57,0,1.15,187.06,1.15,1.15,1.15,0,9.75,0,0,0.57,0,30.41,0,0,0.57,0,0.57
 60-70,0,0,0,5.89,0,0,96.19,0,0.98,1.96,28.46,0.98,0.98,0,0,0.98,0,0,0.98,0,33.37,0.98,0,1.96,345.5,0,1.96,0,0.98,15.7,0,0,0,0,46.13,0,0,0.98,0,3.93
 72-82,0,0,0.98,7.85,0.98,0,121.73,0,0.98,0.98,33.38,2.94,0.98,0,0.98,1.96,0,0,0.98,0.98,39.27,0,0.98,2.94,210.08,0,0.98,2.94,1.96,7.85,0,0,0,0,15.71,0.98,0,1.96,0,1.96
 84-94,0,0,0,5.31,1.06,0,90.27,2.12,0,1.06,24.43,1.06,2.12,0,2.12,3.19,1.06,0,0,1.06,28.68,1.06,1.06,2.12,132.75,0,0,2.12,0,19.12,0,0,0,0,7.43,0,0,1.06,2.12,3.19
 96-106,0,0,0,5.46,3.28,1.09,92.89,0,1.09,0,21.86,3.28,0,0,1.09,4.37,0,0,0,0,36.06,1.09,1.09,1.09,100.54,1.09,1.09,3.28,0,22.95,0,1.09,0,0,4.37,0,1.09,1.09,1.09,1.09
108-118,0,0,0,5.36,0,1.53,58.98,0.77,3.83,2.3,24.51,3.83,0,0,0,7.66,1.53,1.53,1.53,0.77,28.34,0,0.77,2.3,105.7,0.77,3.06,2.3,0,27.57,0,0.77,0,0,4.6,3.83,0,3.06,1.53,3.83
120,0,0,0,11.76,0,0,48.99,0,1.96,1.96,23.52,21.56,0,0,1.96,9.8,0,1.96,5.88,1.96,31.36,1.96,1.96,0,107.79,1.96,1.96,7.84,0,23.52,0,1.96,0,0,0,0,1.96,3.92,0,1.96
