stage,axial,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,2.46,0,0,0,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,1.15,0,0.57,0,0,0,0,0,0,1.15,1.72,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,0,4.91,0,0.98,0.98,0,0,11.78,0,0,0,0,0,0,3.93,0.98,0,0,0,0.98,0,0,0.98,0,0.98
 84-94,0,0,3.19,0,0,2.12,0,0,28.68,0,1.06,0,0,0,1.06,1.06,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,24.04,1.09,5.46,4.37,0,0,139.88,2.19,0,0,0,1.09,1.09,15.3,0,0,0,0,2.19,0,0,0,2.19,0
108-118,0,0,19.15,0,5.36,2.3,3.83,2.3,228.26,1.53,1.53,0,0.77,0.77,3.06,11.49,0,0.77,1.53,0,3.06,0,0,0,0,0
120,1.96,0,19.6,0,3.92,0,3.92,3.92,195.98,11.76,1.96,1.96,0,0,3.92,3.92,0,0,0,0,1.96,0,0,1.96,0,0
