stage,epidermis,eye,fin_epithelia,glial,gut,iridophores,lateral_line,mesenchyme,neural,otic,periderm,pronephros,spinal_cord
 14-21,0,0,0,0,0,0,0,0,0,0,0,1,1
 24-34,0,0,0,0.82,0,0,0,0.82,0.82,0,0,0,0
 36-46,0,4.03,0,0,0,0,0,0,2.42,0,0,0,0
 48-58,0,5.16,0,0,0,0,0,0,3.44,0,0,0,2.87
 60-70,0,6.87,0,0,0,0.98,0,0,6.87,0,0,0,0
 72-82,0.98,1.96,0,0,0,0,0,0,3.93,0,0,0,0
 84-94,0,0,0,0,0,0,1.06,0,1.06,0,2.12,0,1.06
 96-106,0,0,1.09,0,0,0,2.19,0,1.09,1.09,0,0,1.09
108-118,0,0,1.53,0,0,1.53,0,0,0.77,0,0.77,0,0
120,0,0,0,1.96,1.96,0,0,0,0,0,0,0,0
