stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,342.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,294.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,49.95,2.63,0,0,15.77,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,3.15,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,12,2,0,0,0,0,0,2,1,0,0,3,0,0,1,0,0
 24-34,0,0,0,0,4.1,1.64,1.64,0,0.82,0,0,0,0,1.64,0.82,0,0,0,0,0,3.28,0,0,4.93,27.91,0,1.64,0,0,0,0.82,0,0,0,0,6.57,0,0,59.92,0,0
 36-46,0,0,0,0,0,0,2.42,0,0,0.81,1.61,0,0,0,0,0,5.64,0.81,0,0,5.64,0,0,2.42,33.03,1.61,0,0.81,0,0,0,0,0,0.81,0.81,9.67,0,0,128.91,0,0
 48-58,0,0,0,0,1.15,0.57,5.74,0,0,0.57,6.31,0,0,0,0,0,22.38,0.57,0,0,14.92,0,0,1.15,13.2,0.57,0,0,0,0,1.15,0,0,0,0,8.61,0,0,130.83,0,0
 60-70,0.98,0,0,0,3.93,0,23.56,0,0,0.98,1.96,0.98,0,0,0,0,47.11,0,0,0,21.59,0,0,1.96,22.58,0.98,0,0.98,0,0.98,4.91,0,0,0,0,6.87,0,0,121.71,0,0
 72-82,0,0,0,0,0.98,0.98,51.05,0,0,0,4.91,0.98,0,0,0,0.98,41.23,0,0,0,41.23,0,0,1.96,25.52,0,0,3.93,0,0,3.93,0,0,0,0,2.94,0,0.98,239.53,0,0.98
 84-94,0,0,1.06,0,1.06,2.12,80.71,0,0,0,8.5,2.12,0,0,4.25,2.12,52.04,0,0,0,37.17,0,0,0,20.18,0,0,2.12,0,0,6.37,0,0,0,0,3.19,0,0,204.97,3.19,0
 96-106,0,0,0,0,5.46,5.46,86.33,1.09,0,1.09,6.56,0,0,1.09,3.28,2.19,68.85,0,2.19,0,26.23,0,3.28,1.09,12.02,0,0,0,0,0,8.74,0,0,3.28,1.09,1.09,0,1.09,236.05,1.09,0
108-118,0,0,0,0,3.06,2.3,72,1.53,0.77,0.77,7.66,0,0,0,0.77,0,74.3,0,1.53,0.77,30.64,0.77,2.3,3.83,19.92,0,0,0.77,0,0.77,3.83,0,0,0.77,0.77,0,0.77,0,166.98,0.77,0.77
120,0,0,0,0,0,3.92,45.08,0,0,0,3.92,0,0,0,1.96,0,33.32,0,0,0,15.68,0,1.96,0,7.84,1.96,0,0,0,0,0,0,0,0,0,0,0,0,178.34,0,0
