stage,epidermis,erythrocytes,eye,glial,heart,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,pericytes,pronephros,spinal_cord,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,3,0,0,0,0,3,0,0,2,2,0,0,0,0,2,0
 24-34,0,0,12.31,0,0.82,0.82,0,4.93,0,1.64,5.75,0,0,0,0,0,0,0
 36-46,0.81,0,5.64,0,1.61,0,0,5.64,0,0,3.22,0,0.81,0,0,0.81,0.81,0
 48-58,0,0,8.61,0.57,0.57,0.57,0,8.61,0.57,0.57,1.15,0,0.57,0,0.57,0,0,0
 60-70,0,0,9.82,9.82,0,0,0,3.93,0,2.94,0.98,0,1.96,0,0.98,0,0.98,0
 72-82,0,0,5.89,5.89,0,0,0,6.87,1.96,0,0.98,0,0.98,0,0,0,0,0
 84-94,0,0,4.25,1.06,1.06,1.06,1.06,12.74,3.19,0,2.12,0,0,0,0,0,0,1.06
 96-106,1.09,3.28,4.37,7.65,0,3.28,2.19,4.37,1.09,0,1.09,0,2.19,0,0,0,0,0
108-118,0,0,0.77,8.43,0,0,0.77,3.83,0.77,0,3.06,0,1.53,0,0.77,0,0,0
120,0,3.92,5.88,13.72,0,0,0,1.96,0,0,3.92,0,0,0,0,0,0,0
