stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
 14-21,2,0,1,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,3,6,1,0,0,1,1,413,219,4,0,0,0,0
 24-34,4.1,0,8.21,215.06,0,1.64,1.64,0,1.64,0,0,0,0,0,0,9.03,0,0,27.91,94.4,0,0.82,0,5.75,0,235.59,261.03,10.67,0,0,5.75,1.64
 36-46,2.42,0.81,8.06,351.27,0.81,0,3.22,0,0,0,0,1.61,0,0,0.81,6.45,0,0,12.89,56.4,0,0.81,1.61,1.61,0,144.21,19.34,21.75,0,0,0,1.61
 48-58,1.15,0,22.95,343.71,0,0.57,4.59,0,1.15,0,0,0,0,0,0.57,9.75,0,0,15.49,56.23,0,0.57,0,0.57,0,127.38,0,20.08,0,0,2.3,0.57
 60-70,0.98,0,23.56,212.01,0,0,1.96,0,0,0.98,0,0,0,0,0,6.87,0.98,0,10.8,38.28,0,0,0,1.96,0,73.61,0,5.89,0,0,0.98,0.98
 72-82,0.98,4.91,10.8,112.89,0,0,0.98,0,0,0,0,0,0.98,0,0,11.78,0,0,10.8,15.71,0,0,0.98,0.98,0,36.32,0,1.96,0,0,0,0
 84-94,2.12,2.12,8.5,173.11,0,1.06,2.12,1.06,1.06,1.06,1.06,0,0,0,0,9.56,0,1.06,11.68,14.87,0,0,0,2.12,0,80.71,0,0,0,0,0,2.12
 96-106,4.37,2.19,10.93,174.86,1.09,0,7.65,1.09,0,1.09,0,0,0,1.09,0,8.74,0,0,8.74,17.49,1.09,0,1.09,5.46,0,71.04,0,0,1.09,0,1.09,0
108-118,2.3,0,5.36,124.09,0.77,0,3.06,0,0,3.06,0,0,0,0,0,5.36,0,0,10.72,15.32,0,0,0,1.53,0,48.26,0,0,0,0.77,0,0
120,1.96,0,1.96,56.83,0,0,0,0,0,0,0,0,0,1.96,0,1.96,0,0,15.68,0,0,0,0,0,1.96,19.6,0,0,0,0,0,0
