stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,gut,immune,ionocyte,mesenchyme,mucous,neural,olfactory,paraxial_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,13.14,0,2.63,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,4,0,0
 24-34,0,0,0,0,0,2.46,0,0,0,0,0,0.82,0,0,0.82,0,4.1,0,0
 36-46,0,0,0,0,0,4.03,0,0,0,0,0,1.61,1.61,0,0.81,0,3.22,0,0
 48-58,0,0,0,0,0,3.44,0,0,0,0,0.57,0,1.15,0,2.3,0,3.44,0,0
 60-70,0,0,0,0,0,2.94,0,0,0,0,0,0,1.96,0,1.96,0,3.93,0,0
 72-82,0,0,0,0.98,1.96,3.93,0,0.98,0,0.98,0.98,0.98,2.94,0,0.98,0,1.96,0,0.98
 84-94,0,0,0,1.06,0,3.19,0,0,0,0,0,0,8.5,0,2.12,0,2.12,0,0
 96-106,0,0,0,0,0,5.46,0,0,0,0,1.09,1.09,7.65,0,5.46,0,1.09,0,0
108-118,0,0,1.53,0,0,5.36,0.77,0,0,0,0,0.77,7.66,0,5.36,0,2.3,0,0
120,0,0,0,0,0,3.92,0,0,1.96,0,0,0,1.96,0,5.88,0,1.96,1.96,0
