stage,axial,blastomeres,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,hatching_gland,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,2.63,0,0,0,0,10.51,0,0,13.14,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,12.59,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,2,0,2,15,1,0,0,0,4,3,10,0,0
 24-34,0,0,0,0.82,4.1,0,2.46,0.82,0,0,2.46,0,1.64,30.37,0,0,0,0.82,0,0,6.57,0.82,0
 36-46,0,0,0,0,4.83,0,1.61,0,0,0,3.22,0,0,18.53,0,0,0,0.81,0,0,4.83,0.81,0
 48-58,0,0,0,1.15,10.33,0,2.3,0,0,0,5.74,0.57,1.15,13.2,0.57,0,0,0,0,0,3.44,0,0
 60-70,0,0,0,0,8.83,0,2.94,0,0,0,5.89,0,0,15.7,0,0.98,0,0,0,0,3.93,0,0.98
 72-82,0,0,0,0.98,5.89,0,3.93,0,0,1.96,6.87,0,1.96,17.67,0,0,0,0.98,0,0,2.94,1.96,0
 84-94,0,0,0,0,2.12,0,0,0,0,0,6.37,0,1.06,4.25,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,3.28,1.09,1.09,0,0,0,1.09,0,0,3.28,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.77,1.53,0,0.77,0,0,0,4.6,0,0,2.3,0,0,0,0,0,0,0.77,0,0
120,0,0,0,0,1.96,0,0,1.96,0,0,7.84,0,0,5.88,1.96,0,0,1.96,0,0,0,0,0
