stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0,1,1,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,45,0,1,0,0,0,1,0,2,3,33,0,0,0,0,0
 24-34,0,0,1.64,0,0.82,0,0,5.75,0,0,0,1.64,0.82,0,0,0.82,0,0,0,0,4.93,0,1.64,265.96,0,12.31,0,0,1.64,0,0,0,0,64.03,0,0,0,0,0
 36-46,0,0,0.81,0,0.81,0,0,19.34,0,0.81,0,8.06,0,0,0,0,0,0,0,0,6.45,0,0.81,747.66,0,6.45,0,0,0,0,0.81,0,0,142.6,0,0,0,0,0
 48-58,0,0,0.57,0,1.15,0,0,85.5,0,0,0,13.2,0,0,0.57,0,0,0,0,0,15.49,0.57,1.15,818.25,0,2.3,0,0,0,0,0,0,0,154.93,0,0,0.57,0,0
 60-70,0,0,0,0,2.94,0,0,377.89,0,0,0,35.33,0,0.98,0.98,0,0,0.98,0,0.98,13.74,0,3.93,1277.94,0.98,9.82,0.98,0,0,0,0,0,0,202.19,0.98,0,0,0.98,0.98
 72-82,0,0,3.93,0,5.89,0.98,0,489.85,0,0,2.94,61.84,0,0,0.98,0,0,0,0.98,0.98,27.49,0.98,2.94,1001.3,0,7.85,1.96,0,0,0,0,0,0,104.06,0,0,0.98,1.96,1.96
 84-94,0,0,2.12,0,8.5,4.25,0,278.25,0,0,1.06,53.1,1.06,0,3.19,2.12,0,0,1.06,0,23.36,0,2.12,466.23,1.06,7.43,3.19,0,1.06,0,1.06,0,0,47.79,0,0,3.19,2.12,0
 96-106,0,0,1.09,0,3.28,1.09,0,291.79,0,0,0,28.41,1.09,1.09,0,2.19,1.09,0,1.09,0,19.67,1.09,0,426.21,0,7.65,8.74,0,2.19,0,0,0,0,29.51,0,0,0,0,0
108-118,0,0,0.77,0.77,6.89,0.77,0.77,201.45,0.77,0,0.77,36.77,0.77,0,0.77,1.53,0,0,0.77,0,9.96,0,0.77,454.98,0,3.83,3.06,0,0.77,0,0,0,0,17.62,0,0,0,0,0
120,0,0,0,0,7.84,0,0,152.86,0,1.96,3.92,37.24,1.96,1.96,1.96,0,0,0,0,0,15.68,0,0,482.11,0,15.68,1.96,0,0,0,0,0,0,11.76,0,3.92,0,0,0
