stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.78,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.26,0,7.89,0,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.44,7.89,0,0,28.92,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,6.29,0,3.15,0,34.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346.17,3.15,0,0,31.47,0,0,3.15,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,4,3,15,4,0,29,0,0,14,0,2,0,0,0,0,0,0,0,11,0,0,5,474,4,2,5,4,0,0,0,2,5,3,180,0,0,6,0,0
 24-34,0,0,2.46,4.1,12.31,0,0,84.55,1.64,0,17.24,2.46,0,4.93,0,1.64,0,3.28,1.64,0.82,21.34,0,0,14.78,1056.44,3.28,17.24,9.03,0,0,1.64,0,0,5.75,1.64,243.79,0,0,44.33,0,0
 36-46,0,0,0.81,0,4.83,0.81,0,216.73,0.81,0,38.67,1.61,0,1.61,0,0.81,0,4.03,1.61,0.81,31.42,0,2.42,8.06,1356.75,0.81,12.89,5.64,0,0,1.61,0,0,5.64,0,283.6,0,0,20.14,0,0
 48-58,0,0,1.72,0,4.02,1.72,0,346.58,0,1.72,52.22,0,1.72,0.57,0.57,1.15,0.57,3.44,0.57,0,40.74,0,2.87,7.46,1111.46,0.57,6.89,6.31,0,0.57,0.57,0,0,1.72,0,211.16,0,1.15,10.33,0,0.57
 60-70,0,0,0,0,3.93,0,0,557.5,0,1.96,59.87,0,0,1.96,0,0.98,0,4.91,0,0.98,68.71,0,0.98,1.96,1310.33,0,6.87,2.94,0,0.98,0,0,0,0,0,179.62,0.98,2.94,8.83,1.96,0
 72-82,0,0,2.94,0,9.82,0.98,0.98,447.64,0,1.96,69.7,5.89,0,3.93,0.98,1.96,0,6.87,1.96,0,121.73,1.96,5.89,9.82,1144.62,1.96,13.74,7.85,0,0,0,0.98,0,2.94,0,91.29,0,0.98,16.69,2.94,0.98
 84-94,0,0,7.43,1.06,18.05,1.06,1.06,417.38,0,3.19,58.41,6.37,2.12,1.06,3.19,2.12,1.06,2.12,0,0,83.9,3.19,5.31,5.31,643.59,0,13.81,16.99,0,0,5.31,0,0,5.31,0,71.16,3.19,1.06,16.99,1.06,0
 96-106,0,0,3.28,0,7.65,1.09,1.09,259,1.09,4.37,57.92,7.65,1.09,3.28,5.46,3.28,1.09,9.84,5.46,0,91.8,2.19,6.56,7.65,475.39,1.09,15.3,12.02,0,0,6.56,0,0,4.37,0,30.6,7.65,4.37,18.58,2.19,1.09
108-118,0,0,1.53,0,9.19,0,4.6,252,2.3,0.77,58.21,6.89,0,1.53,5.36,0.77,2.3,6.13,2.3,0.77,78.89,0,6.13,4.6,662.56,0.77,6.89,11.49,0,0.77,1.53,0,0,3.06,0,23.74,6.89,2.3,16.09,3.06,1.53
120,0,0,3.92,0,13.72,0,5.88,176.38,0,0,37.24,11.76,0,0,0,3.92,1.96,7.84,9.8,0,54.87,3.92,3.92,1.96,540.9,1.96,11.76,5.88,0,0,5.88,0,0,7.84,0,15.68,3.92,1.96,1.96,1.96,0
