stage,epidermis,eye,glial,gut,immune,lateral_line,mesenchyme,mucous,neural,notochord,olfactory,otic,periderm,spinal_cord,vasculature
 14-21,0,0,0,0,0,0,0,0,4,0,0,1,0,66,0
 24-34,0.82,0,1.64,0,0,0,0,0,18.88,0,0,0,0,82.09,0
 36-46,0,0.81,0,0,0,0,0,0,13.7,0,0,0,0.81,62.04,0
 48-58,1.15,2.3,2.3,0,0,0,0.57,0,12.05,0.57,0,0.57,0,64.84,0.57
 60-70,0,0.98,0.98,0,0,0,0,0,6.87,0,0,0,0,38.28,0
 72-82,0.98,1.96,8.83,0.98,0,0,0.98,0,1.96,0,0,0,0,39.27,0
 84-94,1.06,3.19,3.19,0,0,0,1.06,0,6.37,0,0,0,0,32.92,0
 96-106,1.09,1.09,7.65,0,0,1.09,2.19,1.09,2.19,0,0,0,1.09,44.81,0
108-118,0,2.3,7.66,0,0.77,0,0,0,2.3,0,0,0,0,32.94,0
120,1.96,1.96,1.96,0,0,0,0,0,9.8,0,1.96,0,0,31.36,0
