stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,13.18,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0,1.61,0,0,0,2.42,0.81
 48-58,0,0,0,0,0.57,0,0,0,0,0,0.57,0,0.57,1.15,0,0,0,0,0
 60-70,0,0,0,0,0,1.96,0,2.94,0,0,0,2.94,0,4.91,0,0,0,0,0
 72-82,0,0,0,0,2.94,0,0,5.89,0,0,0,0.98,0,3.93,0,0,0,0,0.98
 84-94,0,0,1.06,0,1.06,0,1.06,8.5,0,0,0,2.12,0,1.06,1.06,0,2.12,0,0
 96-106,0,0,0,0,0,0,1.09,14.21,1.09,1.09,0,2.19,0,1.09,0,0,1.09,0,0
108-118,0,0,0,2.3,1.53,0,0,9.96,0,0,0,1.53,0,0.77,0,0,0,0,0
120,0,0,0,0,1.96,0,0,9.8,0,0,0,0,0,1.96,0,0,0,0,0
