stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,171.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,140.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,103.85,3.15,0,0,3.15,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,2,50,0,0,8,0,0,0,0,1,2,0,0,0,1,1,1,5,0,0,3,54,0,0,0,2,0,0,0,3,0,0,4,15,0,0,0,0
 24-34,0,0,0,4.1,50.07,0.82,0,16.42,0,4.1,1.64,5.75,0.82,1.64,0,0.82,0,3.28,0,1.64,26.27,0,0.82,9.85,138.72,0,0.82,4.1,0,0.82,0.82,0,0.82,3.28,0,1.64,21.34,0,16.42,0,8.21
 36-46,0,0,0,0,17.72,0,0,15.31,0,0.81,0,14.5,0.81,0,0,0,6.45,6.45,0,6.45,26.59,0.81,0,5.64,105.54,0,1.61,3.22,0,0,4.03,0.81,0,1.61,0,0,16.11,0,16.11,0,17.72
 48-58,0,0,0,0,11.48,0,0,40.74,0,1.15,1.72,25.82,0,1.72,0,0,16.07,2.87,0,10.33,32.13,0,0,4.59,88.37,0.57,0,5.16,0,0.57,2.3,0,0,1.72,0,0,19.51,0.57,8.03,0,18.94
 60-70,0,0,0,0,16.69,0,0,34.35,0,1.96,2.94,84.41,0,0,0.98,0.98,35.33,6.87,1.96,7.85,79.5,0,3.93,2.94,108.95,0,1.96,2.94,0,2.94,0.98,0,0,2.94,0,0,8.83,1.96,14.72,1.96,15.7
 72-82,0,0,0.98,0,22.58,0,0,62.83,0,0.98,6.87,163.94,0,2.94,1.96,1.96,21.6,10.8,2.94,9.82,180.63,0,12.76,9.82,152.16,0,0.98,8.83,0,1.96,5.89,0,0,0,0,0,18.65,5.89,29.45,5.89,25.52
 84-94,0,0,1.06,0,37.17,1.06,0,114.7,0,4.25,5.31,82.84,0,9.56,2.12,0,41.42,7.43,0,27.61,82.84,1.06,8.5,3.19,79.65,0,3.19,7.43,0,3.19,15.93,1.06,0,2.12,1.06,0,10.62,4.25,25.49,4.25,26.55
 96-106,0,0,0,0,25.14,1.09,0,84.15,0,1.09,3.28,111.47,0,3.28,4.37,1.09,53.55,3.28,2.19,14.21,125.68,0,8.74,2.19,99.45,0,6.56,4.37,0,1.09,8.74,0,0,2.19,0,0,5.46,3.28,22.95,5.46,25.14
108-118,0,0,0,0.77,22.21,0,0,94.98,0.77,6.13,4.6,94.21,0,3.83,1.53,0.77,67.4,5.36,1.53,14.55,98.04,0,7.66,1.53,91.92,0.77,3.06,13.02,0,2.3,6.89,0,0,3.06,0,0,2.3,2.3,16.85,1.53,27.57
120,0,0,0,0,35.28,3.92,1.96,48.99,0,9.8,11.76,146.98,0,3.92,3.92,1.96,37.24,13.72,0,5.88,146.98,0,5.88,3.92,178.34,0,7.84,13.72,0,5.88,5.88,0,0,1.96,0,0,13.72,0,50.95,7.84,15.68
